r,n,s,S,c
1251567,22,12,21,317161
1251583,22,12,21,317165
1251711,22,13,21,951593
1252031,24,13,23,237959
1252543,22,13,21,952225
1252735,22,10,21,35273
1252863,24,13,23,238117
1252895,21,10,20,70555
1253055,23,10,22,17641
1253103,22,13,21,952651
1253439,21,11,20,211757
1253487,21,11,20,211765
1253535,22,13,21,952979
1253599,24,11,23,26473
1253695,22,13,21,953101
1253791,23,13,22,476587
1254655,21,12,20,635887
1254879,22,13,21,954001
1254911,22,13,21,954025
1255535,21,11,20,212111
1255631,22,12,21,318191
1255679,22,12,21,318203
1256063,22,13,21,954901
1256095,21,12,20,636617
1256191,24,14,23,716249
1256559,24,14,23,716459
1257791,24,14,23,717161
1258495,21,11,20,212611
1258543,22,12,21,318929
1258623,22,12,21,318949
1258719,21,10,20,70883
1258911,23,12,22,159511
1258959,22,13,21,957103
1258975,22,13,21,957115
1259007,22,13,21,957139
1259039,21,10,20,70901
1259199,22,10,21,35455
1259631,21,11,20,212803
1259743,22,11,21,106411
1259839,24,13,23,239443
1259903,21,11,20,212849
1260159,22,13,21,958015
1260223,21,11,20,212903
1260271,24,13,23,239525
1260415,24,14,23,718657
1260863,24,14,23,718913
1260959,22,12,21,319541
1261295,22,13,21,958879
1261727,22,13,21,959207
1261983,23,13,22,479701
1262063,24,14,23,719597
1262463,24,14,23,719825
1262527,22,13,21,959815
1262719,24,14,23,719971
1263055,22,13,21,960217
1263071,22,13,21,960229
1263087,24,14,23,720181
1263151,21,12,20,640193
1263871,22,12,21,320279
1264031,24,14,23,720719
1264255,22,13,21,961129
1264287,21,12,20,640769
1264367,24,14,23,720911
1264447,22,12,21,320425
1264575,24,13,23,240343
1264751,23,11,22,53417
1264847,21,12,20,641053
1264879,22,13,21,961603
1265055,22,12,21,320579
1265135,23,13,22,480899
1265199,21,12,20,641231
1265567,24,14,23,721595
1266303,23,13,22,481343
1266799,22,10,21,35669
1267135,23,12,22,160553
1267167,22,13,21,963343
1267823,21,11,20,214187
1268159,21,12,20,642731
1268671,23,13,22,482243
1268975,22,13,21,964717
1269215,24,13,23,241225
1269295,21,12,20,643307
1269375,22,13,21,965021
1269807,23,13,22,482675
1269919,21,11,20,214541
1270175,21,12,20,643753
1270207,21,12,20,643769
1270239,24,14,23,724259
1270591,23,12,22,160991
1270751,21,12,20,644045
1270911,22,12,21,322063
1271103,22,13,21,966335
1271679,22,13,21,966773
1272559,23,13,22,483721
1272687,24,13,23,241885
1272703,22,12,21,322517
1272815,21,12,20,645091
1273247,22,12,21,322655
1273327,23,13,22,484013
1273391,21,12,20,645383
1274303,21,12,20,645845
1274351,24,13,23,242201
1274751,24,12,23,80759
1274847,21,12,20,646121
1274911,23,13,22,484615
1275199,21,8,20,7979
1275343,24,14,23,727169
1275359,22,13,21,969571
1275439,21,12,20,646421
1275519,24,13,23,242423
1275967,24,14,23,727525
1276031,24,14,23,727561
1276111,24,14,23,727607
1276399,22,13,21,970361
1276415,22,13,21,970373
1276655,21,10,20,71893
1276799,22,12,21,323555
1276863,23,13,22,485357
1277247,23,13,22,485503
1277823,24,13,23,242861
1277999,23,13,22,485789
1278063,23,13,22,485813
1278399,21,12,20,647921
1278463,23,13,22,485965
1278511,22,12,21,323989
1278703,21,11,20,216025
1278879,22,13,21,972247
1278959,21,12,20,648205
1279135,22,11,21,108049
1279471,22,13,21,972697
1279535,24,14,23,729559
1279727,22,9,21,12011
1279743,22,12,21,324301
1279871,21,12,20,648667
1280447,21,12,20,648959
1280703,24,14,23,730225
1281055,22,13,21,973901
1281215,24,14,23,730517
1281279,22,13,21,974071
1281343,21,10,20,72157
1282047,24,14,23,730991
1283039,21,12,20,650273
1283071,22,13,21,975433
1283119,24,14,23,731603
1283327,24,13,23,243907
1283951,21,12,20,650735
1283967,21,12,20,650743
1284063,24,12,23,81349
1284143,22,13,21,976249
1284159,22,13,21,976261
1284351,24,14,23,732305
1284607,22,13,21,976601
1284655,23,12,22,162773
1284735,23,9,22,6029
1284815,21,12,20,651173
1285055,23,13,22,488471
1285423,23,13,22,488611
1285759,21,11,20,217217
1285871,23,10,22,18103
1286623,23,13,22,489067
1286783,22,11,21,108695
1286911,21,12,20,652235
1287071,22,13,21,978475
1287135,22,13,21,978523
1287151,21,12,20,652357
1287199,21,12,20,652381
1287487,21,10,20,72503
1287727,22,13,21,978973
1287887,22,12,21,326365
1287919,22,11,21,108791
1287935,22,12,21,326377
1288047,21,12,20,652811
1288511,22,11,21,108841
1288831,24,11,23,27217
1288895,22,13,21,979861
1288911,21,12,20,653249
1288991,24,14,23,734951
1289247,21,12,20,653419
1289263,21,7,20,2689
1289471,22,13,21,980299
1289711,24,14,23,735361
1290175,23,13,22,490417
1290431,22,13,21,981029
1290655,22,13,21,981199
1290719,21,10,20,72685
1290943,23,13,22,490709
1291567,22,13,21,981893
1291727,24,14,23,736511
1291823,22,13,21,982087
1291903,21,11,20,218255
1292143,21,12,20,654887
1292159,21,12,20,654895
1292335,22,13,21,982477
1292447,22,13,21,982561
1292495,24,14,23,736949
1292735,24,13,23,245695
1292767,21,11,20,218401
1292927,23,11,22,54607
1293055,21,12,20,655349
1293311,23,13,22,491609
1293343,21,12,20,655495
1293503,24,12,23,81947
1293615,21,12,20,655633
1293695,24,14,23,737633
1293727,24,14,23,737651
1293759,24,14,23,737669
1293791,22,9,21,12143
1293983,22,13,21,983729
1294271,24,13,23,245987
1294783,24,14,23,738253
1294847,21,12,20,656257
1294895,24,14,23,738317
1295359,22,13,21,984775
1295839,24,11,23,27365
1296111,22,11,21,109483
1296495,22,13,21,985639
1296799,23,13,22,492935
1296831,23,13,22,492947
1297087,22,13,21,986089
1297103,21,12,20,657401
1297263,22,12,21,328741
1297407,24,13,23,246583
1297663,24,14,23,739895
1297711,21,12,20,657709
1297951,23,13,22,493373
1298207,22,13,21,986941
1298287,21,12,20,658001
1298335,21,12,20,658025
1298463,22,12,21,329045
1298479,22,9,21,12187
1298543,24,13,23,246799
1298671,22,13,21,987293
1298943,21,12,20,658333
1299231,22,13,21,987719
1299935,23,10,22,18301
1299967,24,14,23,741209
1300415,22,13,21,988619
1300687,23,13,22,494413
1300735,23,13,22,494431
1300975,21,12,20,659363
1301103,23,12,22,164857
1301119,23,11,22,54953
1301199,22,13,21,989215
1301487,23,13,22,494717
1301535,21,12,20,659647
1301983,22,11,21,109979
1302431,21,12,20,660101
1302575,22,11,21,110029
1303327,21,8,20,8155
1303551,22,13,21,991003
1304191,24,14,23,743617
1304271,24,14,23,743663
1304703,24,14,23,743909
1304735,22,13,21,991903
1304783,24,13,23,247985
1304991,23,13,22,496049
1305039,22,13,21,992135
1305295,24,14,23,744247
1305375,23,13,22,496195
1305407,23,13,22,496207
1305535,22,11,21,110279
1305583,24,13,23,248137
1305727,22,13,21,992657
1305903,21,12,20,661861
1306143,23,13,22,496487
1306271,22,13,21,993071
1306399,22,13,21,993169
1306479,21,12,20,662153
1306527,21,12,20,662177
1306559,21,10,20,73577
1306671,22,11,21,110375
1306927,23,12,22,165595
1307039,22,13,21,993655
1307247,22,12,21,331271
1307583,24,11,23,27613
1307695,21,9,20,24547
1307807,24,14,23,745679
1307839,22,12,21,331421
1308063,22,13,21,994433
1308159,23,12,22,165751
1308607,22,13,21,994847
1308927,23,13,22,497545
1309439,22,13,21,995479
1309471,21,10,20,73741
1309631,22,10,21,36875
1309679,23,13,22,497831
1309823,22,13,21,995771
1310111,23,13,22,497995
1310175,22,11,21,110671
1310655,21,11,20,221423
1310831,24,14,23,747403
1310879,23,13,22,498287
1310959,22,13,21,996635
1311647,23,12,22,166193
1311711,24,14,23,747905
1311727,22,13,21,997219
1312159,22,13,21,997547
1312191,22,13,21,997571
1312415,21,12,20,665161
1312671,21,12,20,665291
1313023,21,9,20,24647
1313183,23,13,22,499163
1313231,22,13,21,998363
1313263,21,12,20,665591
1313535,24,14,23,748945
1313599,23,13,22,499321
1313919,22,13,21,998885
1314031,23,12,22,166495
1314047,23,11,22,55499
1314671,24,14,23,749593
1314863,22,11,21,111067
1315071,22,13,21,999761
1315119,23,12,22,166633
1315439,22,12,21,333347
1315487,22,12,21,333359
1315567,23,13,22,500069
1315615,21,10,20,74087
1315871,22,13,21,1000369
1315887,21,11,20,222307
1315967,23,13,22,500221
1316095,22,10,21,37057
1316735,23,13,22,500513
1316799,21,11,20,222461
1317103,21,12,20,667537
1317119,21,11,20,222515
1317183,24,14,23,751025
1317615,22,13,21,1001695
1317871,23,13,22,500945
1318015,24,14,23,751499
1318303,23,13,22,501109
1318335,23,13,22,501121
1318719,24,14,23,751901
1318975,24,14,23,752047
1319407,24,14,23,752293
1319471,23,13,22,501553
1319743,22,13,21,1003313
1319967,22,13,21,1003483
1320063,24,13,23,250889
1320191,22,11,21,111517
1320607,24,14,23,752977
1320831,24,13,23,251035
1320863,21,12,20,669443
1321023,23,12,22,167381
1321167,21,11,20,223199
1321215,21,11,20,223207
1321423,21,12,20,669727
1321631,24,12,23,83729
1321711,22,13,21,1004809
1321791,21,12,20,669913
1321855,23,13,22,502459
1322191,24,14,23,753881
1322303,22,13,21,1005259
1322399,21,9,20,24823
1322431,24,13,23,251339
1322911,24,14,23,754291
1323215,21,10,20,74515
1323455,24,14,23,754601
1323503,22,13,21,1006171
1323567,24,13,23,251555
1323711,22,12,21,335443
1323903,22,13,21,1006475
1324079,21,11,20,223691
1324447,21,11,20,223753
1324591,24,14,23,755249
1326111,23,13,22,504077
1326383,22,13,21,1008361
1326399,22,13,21,1008373
1326495,21,11,20,224099
1326527,23,13,22,504235
1326623,22,12,21,336181
1326783,21,12,20,672443
1326799,22,13,21,1008677
1326975,22,13,21,1008811
1327167,22,12,21,336319
1327327,21,12,20,672719
1327663,23,13,22,504667
1327935,22,13,21,1009541
1327999,22,13,21,1009589
1328095,24,14,23,757247
1328847,23,13,22,505117
1329263,23,12,22,168425
1329407,21,11,20,224591
1329631,23,13,22,505415
1329647,23,13,22,505421
1329903,22,13,21,1011037
1329983,21,12,20,674065
1330175,22,12,21,337081
1330207,24,13,23,252817
1330383,23,11,22,56189
1330479,22,13,21,1011475
1330495,24,14,23,758615
1330591,21,11,20,224791
1330719,22,12,21,337219
1330879,21,12,20,674519
1330943,22,13,21,1011827
1331423,21,12,20,674795
1331679,22,13,21,1012387
1331711,22,13,21,1012411
1331903,22,12,21,337519
1331935,22,6,21,463
1332095,22,13,21,1012703
1332255,22,13,21,1012825
1332783,23,12,22,168871
1332863,24,14,23,759965
1332895,22,13,21,1013311
1332943,24,13,23,253337
1333455,24,14,23,760303
1333807,22,13,21,1014005
1334143,24,13,23,253565
1334255,24,14,23,760759
1334575,22,13,21,1014589
1334591,22,13,21,1014601
1334815,22,12,21,338257
1334943,24,13,23,253717
1334975,21,12,20,676595
1335167,22,13,21,1015039
1335455,24,14,23,761443
1335711,24,11,23,28207
1335775,22,13,21,1015501
1335855,21,12,20,677041
1335935,23,13,22,507811
1336127,21,12,20,677179
1336287,23,12,22,169315
1336303,23,9,22,6271
1336447,21,12,20,677341
1336991,22,13,21,1016425
1337039,23,13,22,508231
1337583,22,13,21,1016875
1337759,22,10,21,37667
1337791,22,12,21,339011
1337983,22,13,21,1017179
1338351,22,11,21,113051
1338783,21,11,20,226175
1338927,22,12,21,339299
1338991,23,13,22,508973
1339087,22,13,21,1018019
1339327,24,14,23,763651
1339551,22,12,21,339457
1339583,24,13,23,254599
1339615,21,12,20,678947
1339871,24,14,23,763961
1339903,22,13,21,1018639
1339935,21,12,20,679109
1340383,24,12,23,84917
1340639,22,12,21,339733
1340719,24,13,23,254815
1340959,23,12,22,169907
1340975,23,12,22,169909
1341087,22,13,21,1019539
1341119,21,12,20,679709
1341311,22,9,21,12589
1341551,24,12,23,84991
1341663,24,14,23,764983
1341679,22,13,21,1019989
1341999,22,13,21,1020233
1342207,24,14,23,765293
1342335,21,11,20,226775
1342447,22,10,21,37799
1342623,21,12,20,680471
1342655,22,13,21,1020731
1342975,23,13,22,510487
1343183,21,12,20,680755
1343519,24,13,23,255347
1343647,22,12,21,340495
1343711,23,13,22,510767
1343967,22,13,21,1021729
1344047,21,12,20,681193
1344383,21,10,20,75707
1344495,23,11,22,56785
1345183,22,13,21,1022653
1345231,21,12,20,681793
1345407,22,11,21,113647
1345775,22,13,21,1023103
1345839,21,7,20,2807
1345983,22,12,21,341087
1346319,24,4,23,13
1346751,22,13,21,1023845
1347183,23,13,22,512087
1347199,24,14,23,768139
1347279,21,12,20,682831
1347327,21,12,20,682855
1347615,23,13,22,512251
1347743,22,12,21,341533
1347823,24,13,23,256165
1348079,24,14,23,768641
1348335,22,12,21,341683
1348351,22,12,21,341687
1348479,21,11,20,227813
1348831,22,12,21,341809
1349023,24,13,23,256393
1349151,23,12,22,170945
1349279,22,13,21,1025767
1349311,21,12,20,683861
1349503,22,11,21,113993
1349599,21,12,20,684007
1349839,22,13,21,1026193
1349871,22,13,21,1026217
1350191,21,12,20,684307
1350351,23,12,22,171097
1350383,23,12,22,171101
1350399,23,12,22,171103
1350431,22,13,21,1026643
1350687,22,9,21,12677
1350783,23,13,22,513455
1350815,21,12,20,684623
1350847,22,13,21,1026959
1351039,24,14,23,770329
1351167,23,13,22,513601
1351327,24,13,23,256831
1351583,24,14,23,770639
1351615,24,14,23,770657
1351663,21,10,20,76117
1351727,24,13,23,256907
1351999,21,12,20,685223
1352351,24,14,23,771077
1352447,22,12,21,342725
1352687,23,11,22,57131
1352735,23,11,22,57133
1353215,22,13,21,1028759
1353423,21,12,20,685945
1353471,21,12,20,685969
1353967,22,13,21,1029331
1354527,22,13,21,1029757
1354751,24,14,23,772445
1354783,22,11,21,114439
1355055,23,9,22,6359
1355071,23,12,22,171695
1355375,23,13,22,515201
1355423,23,13,22,515219
1355807,23,13,22,515365
1356287,24,14,23,773321
1356911,24,14,23,773677
1356927,22,13,21,1031581
1356991,23,13,22,515815
1357263,22,13,21,1031837
1357311,22,13,21,1031873
1357679,22,12,21,344051
1357695,22,11,21,114685
1357791,21,12,20,688159
1358031,22,13,21,1032421
1358079,22,13,21,1032457
1358575,23,12,22,172139
1358591,23,12,22,172141
1358623,24,14,23,774653
1358655,22,13,21,1032895
1358879,22,11,21,114785
1358975,23,13,22,516569
1359167,24,12,23,86107
1360063,22,8,21,4255
1360111,23,13,22,517001
1360191,21,12,20,689375
1360623,22,12,21,344797
1361311,23,13,22,517457
1361343,23,13,22,517469
1361359,22,13,21,1034951
1361391,22,13,21,1034975
1361983,22,13,21,1035425
1362399,22,12,21,345247
1362559,21,12,20,690575
1362639,24,12,23,86327
1362719,22,13,21,1035985
1363135,21,10,20,76763
1363183,22,13,21,1036337
1363199,22,13,21,1036349
1363247,23,11,22,57577
1363263,23,12,22,172733
1363391,22,13,21,1036495
1363455,21,10,20,76781
1363615,23,13,22,518333
1363695,21,12,20,691151
1363999,21,11,20,230435
1364127,24,14,23,777791
1364175,24,13,23,259273
1364271,21,9,20,25609
1364447,23,12,22,172883
1364479,23,11,22,57629
1364591,21,9,20,25615
1365151,24,14,23,778375
1365183,23,13,22,518929
1365439,24,13,23,259513
1365503,22,13,21,1038101
1365551,24,14,23,778603
1365631,23,12,22,173033
1366047,21,10,20,76927
1366079,22,13,21,1038539
1366463,24,14,23,779123
1366639,21,11,20,230881
1367071,22,11,21,115477
1367167,23,13,22,519683
1367231,21,11,20,230981
1367279,22,13,21,1039451
1367455,22,13,21,1039585
1367535,23,13,22,519823
1367599,24,14,23,779771
1368303,23,13,22,520115
1368543,24,12,23,86701
1369407,22,12,21,347023
1369503,23,13,22,520571
1369551,22,13,21,1041179
1369839,21,12,20,694265
1370175,22,13,21,1041653
1370735,21,10,20,77191
1371439,23,11,22,57923
1371583,22,13,21,1042723
1371759,24,14,23,782143
1372015,24,12,23,86921
1372351,22,10,21,38641
1372415,24,13,23,260839
1372463,21,11,20,231865
1372639,23,12,22,173921
1372719,22,13,21,1043587
1372783,21,11,20,231919
1373311,22,13,21,1044037
1373375,21,11,20,232019
1373695,21,11,20,232073
1373951,22,13,21,1044523
1374527,24,14,23,783721
1374687,22,12,21,348361
1374847,21,12,20,696803
1375039,24,14,23,784013
1375903,22,10,21,38741
1376303,21,12,20,697541
1376319,24,13,23,261581
1377007,24,14,23,785135
1377599,22,12,21,349099
1377743,21,11,20,232757
1377759,21,12,20,698279
1377951,24,11,23,29099
1378047,22,13,21,1047637
1378207,22,12,21,349253
1378367,21,12,20,698587
1378431,22,13,21,1047929
1378799,22,12,21,349403
1378975,21,9,20,25885
1379007,22,13,21,1048367
1379567,21,11,20,233065
1379775,22,13,21,1048951
1379791,21,10,20,77701
1379951,22,10,21,38855
1380047,23,13,22,524579
1380079,23,13,22,524591
1380463,23,13,22,524737
1380591,22,10,21,38873
1380655,21,11,20,233249
1380975,21,11,20,233303
1381023,21,11,20,233311
1381311,21,12,20,700079
1381375,22,13,21,1050167
1381935,22,13,21,1050593
1382095,22,13,21,1050715
1382143,22,13,21,1050751
1382335,24,14,23,788173
1382367,23,13,22,525461
1382447,21,12,20,700655
1383167,24,14,23,788647
1383199,23,12,22,175259
1383295,22,13,21,1051627
1383679,21,12,20,701279
1383903,21,12,20,701393
1383935,24,14,23,789085
1383983,24,14,23,789113
1384255,22,13,21,1052357
1384383,23,12,22,175409
1384559,24,13,23,263147
1385087,22,13,21,1052989
1385119,21,10,20,78001
1385215,24,14,23,789815
1385439,22,13,21,1053257
1385471,22,13,21,1053281
1386223,22,13,21,1053853
1386239,22,13,21,1053865
1386351,24,14,23,790463
1386399,22,12,21,351329
1386559,21,12,20,702739
1386607,22,13,21,1054145
1386959,22,11,21,117157
1387135,23,13,22,527273
1387167,21,11,20,234349
1387295,24,12,23,87889
1387455,21,12,20,703193
1387775,21,12,20,703355
1388239,23,13,22,527693
1388351,21,8,20,8687
1388591,21,12,20,703769
1388671,21,8,20,8689
1389087,24,14,23,792023
1389567,22,13,21,1056395
1390127,22,13,21,1056821
1390335,22,13,21,1056979
1390703,22,13,21,1057259
1390719,22,13,21,1057271
1390975,23,13,22,528733
1391231,24,13,23,264415
1391295,22,13,21,1057709
1391391,23,12,22,176297
1391423,23,10,22,19589
1391487,24,14,23,793391
1391743,22,10,21,39187
1391871,21,12,20,705431
1392623,22,13,21,1058719
1392671,22,13,21,1058755
1392703,21,12,20,705853
1392863,22,12,21,352967
1393631,22,13,21,1059485
1393791,24,14,23,794705
1393823,24,14,23,794723
1393919,21,12,20,706469
1394111,24,14,23,794887
1394143,23,13,22,529937
1394559,23,13,22,530095
1394815,21,10,20,78547
1395135,24,13,23,265157
1395359,21,11,20,235733
1395567,22,13,21,1060957
1395647,24,14,23,795763
1396207,22,13,21,1061443
1396511,21,12,20,707783
1396671,24,12,23,88483
1396959,22,12,21,354005
1396991,22,12,21,354013
1397439,21,12,20,708253
1397503,24,13,23,265607
1397535,22,12,21,354151
1397695,23,13,22,531287
1397727,21,9,20,26237
1397807,24,12,23,88555
1398015,21,12,20,708545
1398783,22,12,21,354467
1398895,22,13,21,1063487
1399295,24,14,23,797843
1399503,22,13,21,1063949
1399551,22,13,21,1063985
1399775,24,13,23,266039
1400287,22,13,21,1064545
1400319,22,13,21,1064569
1400351,21,12,20,709729
1400511,22,12,21,354905
1400639,21,10,20,78875
1400863,22,13,21,1064983
1400879,22,13,21,1064995
1400959,21,10,20,78893
1401583,23,13,22,532765
1401599,23,13,22,532771
1401663,22,11,21,118399
1401823,21,11,20,236825
1401887,22,13,21,1065761
1401983,23,11,22,59213
1402367,23,13,22,533063
1402735,24,14,23,799805
1403135,23,12,22,177785
1403199,24,14,23,800069
1403647,22,13,21,1067099
1403759,22,13,21,1067185
1403839,22,13,21,1067245
1403935,23,13,22,533659
1404143,24,13,23,266869
1404351,23,10,22,19771
1404399,22,13,21,1067671
1404415,22,13,21,1067683
1404463,21,11,20,237271
1404975,22,13,21,1068109
1405151,22,12,21,356081
1405487,23,10,22,19787
1405567,24,14,23,801419
1405727,22,12,21,356227
1405823,24,14,23,801565
1405919,21,11,20,237517
1406175,21,12,20,712681
1406207,21,12,20,712697
1406415,24,13,23,267301
1406495,21,12,20,712843
1406511,21,11,20,237617
1406655,23,12,22,178231
1406943,22,9,21,13205
1407007,23,13,22,534827
1407087,21,12,20,713143
1407695,22,13,21,1070177
1407743,22,13,21,1070213
1408255,23,13,22,535301
1408303,22,13,21,1070639
1408559,21,10,20,79321
1408639,23,13,22,535447
1409471,21,11,20,238117
1409583,24,11,23,29767
1409695,24,14,23,803773
1409775,23,13,22,535879
1409791,23,13,22,535885
1409951,24,13,23,267973
1410207,24,14,23,804065
1410303,22,13,21,1072159
1410543,23,13,22,536171
1410559,23,13,22,536177
1410687,22,13,21,1072451
1410975,24,14,23,804503
1411519,21,11,20,238463
1411583,24,13,23,268283
1411695,23,13,22,536609
1411791,21,9,20,26501
1411951,22,13,21,1073413
1412095,24,14,23,805141
1412351,24,13,23,268429
1412511,23,12,22,178973
1412591,22,13,21,1073899
1412607,24,14,23,805433
1412815,22,11,21,119341
1413279,21,12,20,716281
1413567,21,10,20,79603
1413615,22,13,21,1074677
1413631,22,13,21,1074689
1414111,21,11,20,238901
1414367,21,12,20,716833
1414383,22,13,21,1075261
1414399,24,14,23,806455
1414447,24,14,23,806483
1414687,21,12,20,716995
1414847,23,12,22,179269
1414863,23,10,22,19919
1415135,22,11,21,119537
1415231,23,13,22,537953
1415647,23,13,22,538111
1415727,22,11,21,119587
1415887,21,11,20,239201
1416063,23,12,22,179423
1416351,22,12,21,358919
1416431,23,13,22,538409
1416687,22,13,21,1077013
1416831,23,13,22,538561
1417711,22,13,21,1077791
1417919,22,13,21,1077949
1417967,21,12,20,718657
1417983,21,11,20,239555
1418479,22,13,21,1078375
1418959,24,11,23,29965
1419135,21,12,20,719249
1419583,24,14,23,809411
1419967,23,13,22,539753
1419983,21,11,20,239893
1420015,24,14,23,809657
1420031,21,10,20,79967
1420159,24,12,23,89971
1420271,21,12,20,719825
1420751,22,13,21,1080103
1420783,24,14,23,810095
1421039,22,12,21,360107
1421167,21,9,20,26677
1421423,22,13,21,1080613
1421471,24,14,23,810487
1421551,24,14,23,810533
1421807,22,13,21,1080905
1421983,24,14,23,810779
1422015,22,13,21,1081063
1422207,22,12,21,360403
1422751,24,14,23,811217
1422975,22,13,21,1081793
1423007,22,13,21,1081817
1423215,21,11,20,240439
1423327,22,11,21,120229
1423807,24,14,23,811819
1423839,23,13,22,541225
1423855,23,13,22,541231
1424111,21,12,20,721771
1424127,21,11,20,240593
1424383,22,13,21,1082863
1424575,24,14,23,812257
1424623,23,13,22,541523
1424879,22,13,21,1083241
1424927,22,13,21,1083277
1425087,24,14,23,812549
1425279,21,12,20,722363
1425455,24,14,23,812759
1425727,22,12,21,361295
1426079,22,13,21,1084153
1426111,22,13,21,1084177
1426159,21,12,20,722809
1426303,22,12,21,361441
1426335,24,13,23,271087
1426415,21,12,20,722939
1426431,24,13,23,271105
1426943,24,14,23,813607
1427071,21,12,20,723271
1427311,21,10,20,80377
1427567,24,13,23,271321
1427695,22,13,21,1085381
1428079,24,14,23,814255
1428159,23,13,22,542867
1428175,21,11,20,241277
1428479,22,13,21,1085977
1428511,21,12,20,724001
1428799,21,12,20,724147
1429023,22,13,21,1086391
1429231,22,12,21,362183
1429359,21,11,20,241477
1429615,22,13,21,1086841
1429727,24,14,23,815195
1430207,22,13,21,1087291
1431023,22,8,21,4477
1431167,21,12,20,725347
1431423,21,12,20,725477
1432031,21,12,20,725785
1432879,21,12,20,726215
1433119,22,13,21,1089505
1434095,21,10,20,80759
1434111,21,12,20,726839
1434303,22,13,21,1090405
1434495,22,12,21,363517
1434943,21,12,20,727261
1435007,24,13,23,272735
1435103,22,12,21,363671
1435375,24,12,23,90935
1435551,21,9,20,26947
1435775,24,13,23,272881
1435807,24,13,23,272887
1436143,24,13,23,272951
1436351,23,13,22,545981
1436655,22,13,21,1092193
1436831,24,14,23,819245
1437167,23,10,22,20233
1437183,23,12,22,182099
1437215,22,13,21,1092619
1437551,21,11,20,242861
1437599,21,11,20,242869
1437807,22,13,21,1093069
1438175,21,12,20,728899
1438207,21,12,20,728915
1438943,22,13,21,1093933
1439023,21,12,20,729329
1439103,24,14,23,820541
1439871,23,13,22,547319
1439951,22,13,21,1094699
1440127,22,13,21,1094833
1440223,21,12,20,729937
1440383,22,12,21,365009
1440447,24,13,23,273769
1440799,21,12,20,730229
1440959,22,12,21,365155
1441023,24,14,23,821635
1441151,22,13,21,1095611
1441327,24,14,23,821809
1441695,21,10,20,81187
1441727,22,13,21,1096049
1441903,24,14,23,822137
1441951,22,13,21,1096219
1442015,24,13,23,274067
1442303,21,12,20,730991
1442751,22,12,21,365609
1442783,24,13,23,274213
1442815,24,13,23,274219
1443135,21,12,20,731413
1443295,22,12,21,365747
1443311,22,10,21,40639
1443711,22,13,21,1097557
1443743,21,11,20,243907
1443951,24,13,23,274435
1444335,21,11,20,244007
1444927,21,8,20,9041
1444975,24,14,23,823889
1445055,22,12,21,366193
1445087,22,7,21,1507
1445167,21,12,20,732443
1445247,21,8,20,9043
1445375,23,12,22,183137
1445407,22,13,21,1098847
1445887,22,13,21,1099211
1446047,22,13,21,1099333
1446095,23,13,22,549685
1446207,24,14,23,824591
1446639,22,13,21,1099783
1446847,22,12,21,366647
1446959,22,13,21,1100027
1447295,23,13,22,550141
1447327,23,13,22,550153
1447583,21,12,20,733667
1447807,22,13,21,1100671
1447999,22,10,21,40771
1448063,23,13,22,550433
1448143,24,14,23,825695
1448191,22,13,21,1100963
1448319,22,13,21,1101061
1448559,22,12,21,367081
1448687,24,13,23,275335
1448927,22,13,21,1101523
1449519,22,13,21,1101973
1449631,21,12,20,734705
1449919,21,12,20,734851
1450047,24,14,23,826781
1450111,24,14,23,826817
1450911,22,10,21,40853
1451247,23,12,22,183881
1451391,21,10,20,81733
1451423,24,13,23,275855
1451935,21,11,20,245291
1452095,22,11,21,122659
1452191,24,13,23,276001
1452239,22,13,21,1104041
1452271,21,12,20,736043
1452287,22,13,21,1104077
1452479,24,14,23,828167
1452703,24,14,23,828295
1452735,24,14,23,828313
1452783,23,13,22,552227
1452991,24,12,23,92051
1453087,22,13,21,1104685
1453215,24,14,23,828587
1453247,22,12,21,368269
1453727,21,12,20,736781
1454015,21,12,20,736927
1454127,24,12,23,92123
1454271,21,12,20,737057
1454303,21,9,20,27299
1454319,21,12,20,737081
1454383,22,12,21,368557
1454527,24,13,23,276445
1454703,23,12,22,184319
1455151,22,13,21,1106255
1455215,22,13,21,1106303
1455519,23,13,22,553267
1456351,22,13,21,1107167
1456383,24,14,23,830393
1456927,21,12,20,738403
1457119,22,13,21,1107751
1457183,22,13,21,1107799
1457215,21,10,20,82061
1457407,22,12,21,369323
1457455,23,13,22,554003
1457471,23,13,22,554009
1457535,21,10,20,82079
1457567,22,13,21,1108091
1457823,21,12,20,738857
1458239,23,11,22,61589
1458335,22,13,21,1108675
1458399,21,11,20,246383
1458415,21,12,20,739157
1458687,23,13,22,554471
1458943,22,13,21,1109137
1459311,21,8,20,9131
1459455,23,12,22,184921
1459871,21,12,20,739895
1460079,24,14,23,832501
1460479,22,13,21,1110305
1460703,22,13,21,1110475
1460927,22,10,21,41135
1460975,23,13,22,555341
1461359,23,13,22,555487
1461567,24,13,23,277783
1461663,22,13,21,1111205
1461967,24,13,23,277859
1462207,21,12,20,741079
1462463,21,12,20,741209
1462495,21,11,20,247075
1462511,21,12,20,741233
1462591,24,14,23,833933
1462943,23,12,22,185363
1462975,23,11,22,61789
1462991,22,13,21,1112215
1463071,21,12,20,741517
1463343,21,12,20,741655
1463455,22,13,21,1112567
1463839,22,9,21,13739
1463935,24,13,23,278233
1463999,21,9,20,27481
1464063,22,13,21,1113029
1464479,24,14,23,835009
