r,n,s,S,c
9455,22,13,21,7189
9471,19,11,18,6401
9519,14,8,13,7625
9599,18,10,17,4325
9679,16,9,15,5815
9695,24,13,23,1843
9711,17,9,16,2917
9759,14,8,13,7817
9839,14,7,13,2627
9919,14,8,13,7945
9935,17,10,16,8953
10015,15,7,14,1337
10079,14,5,13,299
10095,19,11,18,6823
10175,15,8,14,4075
10191,14,6,13,907
10207,18,8,17,511
10271,14,8,13,8227
10287,18,8,17,515
10399,21,11,20,1757
10431,14,7,13,2785
10447,19,11,18,7061
10463,14,8,13,8381
10495,19,11,18,7093
10543,14,7,13,2815
10559,17,10,16,9515
10607,18,6,17,59
10623,14,8,13,8509
10655,16,9,15,6401
10687,21,12,20,5417
10719,23,13,22,4075
10735,16,9,15,6449
10783,14,7,13,2879
10799,15,8,14,4325
10863,17,9,16,3263
10991,22,13,21,8357
11007,19,11,18,7439
11023,14,4,13,109
11119,19,9,18,835
11199,22,13,21,8515
11231,16,8,15,2249
11247,17,10,16,10135
11295,24,13,23,2147
11311,16,7,15,755
11327,14,8,13,9073
11375,22,11,21,961
11423,22,11,21,965
11455,20,11,19,3871
11471,21,12,20,5815
11487,14,7,13,3067
11551,16,6,15,257
11567,16,9,15,6949
11583,22,13,21,8807
11647,14,8,13,9329
11679,19,9,18,877
11727,20,10,19,1321
11743,15,8,14,4703
11759,22,13,21,8941
11807,16,9,15,7093
11823,18,10,17,5327
11887,20,10,19,1339
11967,16,9,15,7189
12063,16,9,15,7247
12079,14,6,13,1075
12095,17,8,16,1211
12143,16,9,15,7295
12159,14,8,13,9739
12255,17,7,16,409
12271,14,8,13,9829
12319,17,10,16,11101
12335,22,13,21,9379
12351,14,8,13,9893
12415,17,8,16,1243
12479,20,11,19,4217
12495,19,10,18,2815
12511,18,9,17,1879
12543,16,9,15,7535
12591,20,11,19,4255
12607,24,14,23,7189
12671,14,7,13,3383
12799,17,10,16,11533
12831,24,11,23,271
12911,20,11,19,4363
13007,17,9,16,3907
13023,14,6,13,1159
13087,17,9,16,3931
13119,16,8,15,2627
13215,14,8,13,10585
13279,18,10,17,5983
13295,14,8,13,10649
13359,19,11,18,9029
13375,14,7,13,3571
13471,23,11,22,569
13535,17,10,16,12197
13567,17,9,16,4075
13615,17,10,16,12269
13631,15,8,14,5459
13695,16,9,15,8227
13727,19,11,18,9277
13791,23,13,22,5243
13807,14,8,13,11059
13855,17,10,16,12485
13871,21,12,20,7031
13951,17,10,16,12571
14015,17,10,16,12629
14031,16,9,15,8429
14063,24,8,23,11
14143,20,7,19,59
14207,18,10,17,6401
14239,14,8,13,11405
14271,16,9,15,8573
14303,17,10,16,12889
14319,14,7,13,3823
14383,17,10,16,12961
14399,17,9,16,4325
14463,21,12,20,7331
14543,17,10,16,13105
14655,24,14,23,8357
14751,14,8,13,11815
14799,15,8,14,5927
14895,18,9,17,2237
14911,14,6,13,1327
15007,16,8,15,3005
15103,17,10,16,13609
15167,17,10,16,13667
15215,14,8,13,12187
15231,24,12,23,965
15263,14,7,13,4075
15295,18,9,17,2297
15343,16,9,15,9217
15391,23,13,22,5851
15423,18,10,17,6949
15439,15,5,14,229
15487,17,10,16,13955
15567,14,8,13,12469
15599,20,10,19,1757
15663,22,13,21,11909
15679,22,13,21,11921
15743,18,10,17,7093
15775,19,11,18,10661
15807,23,12,22,2003
15823,15,8,14,6337
15839,16,9,15,9515
15855,17,10,16,14287
15919,16,9,15,9563
15983,15,8,14,6401
16031,20,11,19,5417
16079,22,12,21,4075
16159,14,8,13,12943
16191,18,10,17,7295
16239,14,8,13,13007
16255,22,13,21,12359
16287,19,9,18,1223
16431,18,10,17,7403
16447,24,14,23,9379
16511,18,10,17,7439
16543,21,11,20,2795
16575,16,8,15,3319
16623,24,14,23,9479
16687,15,8,14,6683
16799,21,12,20,8515
16831,18,10,17,7583
16847,15,7,14,2249
16863,17,9,16,5065
16879,22,13,21,12833
16927,15,8,14,6779
16943,23,12,22,2147
17007,15,8,14,6811
17055,20,10,19,1921
17087,22,13,21,12991
17135,21,10,20,965
17215,22,12,21,4363
17311,17,10,16,15599
17327,15,5,14,257
17343,23,13,22,6593
17375,21,12,20,8807
17391,17,10,16,15671
17519,18,8,17,877
17535,24,12,23,1111
17567,24,11,23,371
17599,18,8,17,881
17631,15,8,14,7061
17663,22,13,21,13429
17711,15,8,14,7093
17727,16,9,15,10649
17903,24,13,23,3403
17951,15,8,14,7189
18031,15,7,14,2407
18079,20,11,19,6109
18111,15,8,14,7253
18127,23,12,22,2297
18159,17,10,16,16363
18271,15,5,14,271
18287,19,11,18,12359
18303,21,12,20,9277
18383,16,6,15,409
18463,16,8,15,3697
18495,23,13,22,7031
18559,17,10,16,16723
18623,16,7,15,1243
18639,16,9,15,11197
18655,15,8,14,7471
18687,19,11,18,12629
18735,15,7,14,2501
18815,15,8,14,7535
18879,21,12,20,9569
18895,16,9,15,11351
18911,23,13,22,7189
18975,15,7,14,2533
19135,18,10,17,8621
19151,17,10,16,17257
19183,22,13,21,14585
19199,16,9,15,11533
19215,15,4,14,95
19231,17,10,16,17329
19311,19,11,18,13051
19391,22,13,21,14743
19519,15,8,14,7817
19663,19,11,18,13289
19679,15,7,14,2627
19759,22,13,21,15023
19839,15,8,14,7945
19871,19,11,18,13429
19919,17,9,16,5983
20015,24,14,23,11413
20079,17,9,16,6031
20127,20,10,19,2267
20207,22,10,21,569
20223,22,12,21,5125
20271,16,6,15,451
20351,16,8,15,4075
20383,19,11,18,13775
20463,15,8,14,8195
20511,18,10,17,9241
20527,16,9,15,12331
20543,15,8,14,8227
20591,18,10,17,9277
20671,20,11,19,6985
20687,17,10,16,18641
20719,20,11,19,7001
20783,16,9,15,12485
20799,22,11,21,1757
20863,15,7,14,2785
20927,16,9,15,12571
20959,22,13,21,15935
20991,22,13,21,15959
21023,16,9,15,12629
21039,18,10,17,9479
21103,16,9,15,12677
21151,20,11,19,7147
21183,24,14,23,12079
21215,19,6,18,59
21247,21,12,20,10769
21375,22,12,21,5417
21407,15,8,14,8573
21471,17,9,16,6449
21487,15,8,14,8605
21535,22,13,21,16373
21567,15,7,14,2879
21615,17,10,16,19477
21695,17,10,16,19549
21727,18,9,17,3263
21759,22,13,21,16543
21807,18,9,17,3275
21983,23,13,22,8357
21999,16,8,15,4405
22015,17,10,16,19837
22047,18,9,17,3311
22207,18,9,17,3335
22399,17,10,16,20183
22431,15,8,14,8983
22463,24,14,23,12809
22495,18,10,17,10135
22511,15,7,14,3005
22575,18,10,17,10171
22655,16,9,15,13609
22751,16,9,15,13667
22767,20,11,19,7693
22783,24,14,23,12991
22847,23,11,22,965
22911,16,9,15,13763
22943,17,8,16,2297
23023,19,11,18,15559
23087,22,12,21,5851
23103,17,6,16,257
23167,17,10,16,20875
23231,16,9,15,13955
23295,21,12,20,11807
23359,20,9,19,877
23407,16,8,15,4687
23455,15,7,14,3131
23487,22,13,21,17857
23519,21,12,20,11921
23551,22,13,21,17905
23583,18,10,17,10625
23615,17,9,16,7093
23663,18,10,17,10661
23711,17,10,16,21365
23743,18,10,17,10697
23759,15,8,14,9515
23855,22,13,21,18137
23871,22,13,21,18149
23935,17,9,16,7189
24031,24,14,23,13703
24047,19,10,18,5417
24303,16,9,15,14599
24351,18,8,17,1219
24383,17,10,16,21971
24431,18,8,17,1223
24447,22,13,21,18587
24479,19,11,18,16543
24559,16,9,15,14753
24639,16,9,15,14801
24703,17,10,16,22259
24783,15,8,14,9925
24815,20,10,19,2795
24831,18,8,17,1243
24991,19,11,18,16889
25055,22,13,21,19049
25071,19,11,18,16943
25247,17,9,16,7583
25295,16,8,15,5065
25375,16,8,15,5081
25455,16,7,15,1699
25471,17,10,16,22951
25503,19,9,18,1915
25583,19,9,18,1921
25599,18,10,17,11533
25631,21,12,20,12991
25647,15,8,14,10271
25807,15,7,14,3445
25855,22,13,21,19657
26015,17,10,16,23441
26063,17,10,16,23485
26319,23,12,22,3335
26351,23,10,22,371
26367,18,10,17,11879
26399,17,7,16,881
26495,21,12,20,13429
26527,16,9,15,15935
26559,17,8,16,2659
26591,15,8,14,10649
26671,15,8,14,10681
26751,23,13,22,10169
26943,24,11,23,569
26991,15,6,14,1201
27039,19,10,18,6091
27119,19,10,18,6109
27183,16,8,15,5443
27295,20,11,19,9223
27343,18,10,17,12319
27375,21,11,20,4625
27391,21,12,20,13883
27423,18,10,17,12355
27455,20,11,19,9277
27503,19,11,18,18587
27615,15,8,14,11059
27631,19,11,18,18673
27679,21,12,20,14029
27695,15,7,14,3697
27759,16,9,15,16675
27839,16,9,15,16723
27855,16,9,15,16733
27903,18,10,17,12571
27935,15,6,14,1243
27951,18,10,17,12593
28063,19,11,18,18965
28095,17,10,16,25315
28143,19,11,18,19019
28191,18,10,17,12701
28319,17,10,16,25517
28351,18,10,17,12773
28367,22,12,21,7189
28447,17,10,16,25633
28479,15,8,14,11405
28527,17,10,16,25705
28639,15,7,14,3823
28703,17,9,16,8621
28799,15,8,14,11533
28879,18,9,17,4337
28927,17,10,16,26065
29087,17,10,16,26209
29183,22,13,21,22187
29231,17,10,16,26339
29311,24,11,23,619
29375,22,13,21,22333
29471,24,14,23,16805
29503,15,8,14,11815
29631,17,10,16,26699
29727,21,12,20,15067
29743,16,9,15,17867
29807,18,10,17,13429
29823,20,10,19,3359
29887,18,10,17,13465
29951,22,13,21,22771
30015,17,8,16,3005
