r,n,s,S,c
11,7,3,6,5
43,6,3,5,37
59,9,4,8,19
75,12,3,11,1
123,10,5,9,59
187,8,4,7,119
203,8,3,7,43
219,9,5,8,209
315,11,4,10,25
331,9,3,8,35
347,14,6,13,31
379,9,5,8,361
411,19,9,18,31
475,11,5,10,113
507,12,6,11,181
539,14,8,13,433
587,10,3,9,31
603,17,10,16,545
635,11,5,10,151
763,23,12,22,97
827,10,4,9,131
859,20,10,19,97
923,12,6,11,329
987,10,5,9,469
1019,13,7,12,545
1099,11,3,10,29
1115,24,14,23,637
1179,20,10,19,133
1275,16,9,15,767
1339,12,4,11,53
1371,11,6,10,977
1435,13,7,12,767
1499,13,5,12,89
1531,11,6,10,1091
1563,14,8,13,1253
1627,19,10,18,367
1659,12,5,11,197
1691,22,11,21,143
1787,13,7,12,955
1883,20,11,19,637
1947,11,6,10,1387
2043,20,11,19,691
2075,14,8,13,1663
2123,14,3,13,7
2139,21,12,20,1085
2203,13,7,12,1177
2299,17,9,16,691
2331,16,8,15,467
2395,12,6,11,853
2459,19,11,18,1663
2555,13,6,12,455
2587,14,7,13,691
2651,19,11,18,1793
2811,19,11,18,1901
2907,13,7,12,1553
2971,13,6,12,529
3067,15,8,14,1229
3163,16,9,15,1901
3387,13,4,12,67
3483,14,8,13,2791
3547,12,5,11,421
3611,17,9,16,1085
3675,13,7,12,1963
3707,15,5,14,55
3835,14,8,13,3073
4091,15,8,14,1639
4187,18,9,17,629
4251,15,8,14,1703
4379,17,10,16,3947
4443,13,6,12,791
4507,14,8,13,3611
4635,18,10,17,2089
4699,23,13,22,1787
4859,14,8,13,3893
4955,15,8,14,1985
5115,15,7,14,683
5211,22,12,21,1321
5275,15,8,14,2113
5371,14,8,13,4303
5403,22,13,21,4109
5531,14,7,13,1477
5595,15,5,14,83
5723,14,8,13,4585
5787,16,8,15,1159
5883,14,7,13,1571
5979,15,8,14,2395
6139,20,11,19,2075
6219,13,3,12,41
6235,21,12,20,3161
6299,15,7,14,841
6555,19,10,18,1477
6651,18,6,17,37
6683,13,7,12,3569
6747,14,8,13,5405
6907,17,9,16,2075
7003,15,7,14,935
7067,14,6,13,629
7163,20,9,19,269
7259,14,8,13,5815
7419,19,11,18,5015
7451,17,10,16,6715
7483,15,4,14,37
7707,21,12,20,3907
7771,14,7,13,2075
7803,13,5,12,463
7835,17,10,16,7061
7931,19,10,18,1787
8187,16,9,15,4919
8283,21,12,20,4199
8347,16,9,15,5015
8539,17,6,16,95
8603,19,11,18,5815
8731,15,8,14,3497
8795,18,9,17,1321
8955,19,11,18,6053
9051,17,9,16,2719
9243,24,13,23,1757
9371,17,9,16,2815
9499,24,14,23,5417
9755,15,8,14,3907
9819,17,10,16,8849
9883,22,11,21,835
10075,16,9,15,6053
10267,19,8,18,257
10315,15,3,14,17
10491,24,14,23,5983
10523,14,8,13,8429
10779,15,7,14,1439
10843,22,13,21,8245
10907,17,10,16,9829
11003,24,14,23,6275
11035,20,10,19,1243
11259,14,8,13,9019
11355,23,12,22,1439
11675,17,8,16,1169
11803,21,12,20,5983
11899,14,5,13,353
12027,15,8,14,4817
12059,20,11,19,4075
12123,23,13,22,4609
12283,14,8,13,9839
12315,24,13,23,2341
12379,21,12,20,6275
12443,14,8,13,9967
12571,23,9,22,59
12699,16,8,15,2543
12827,17,9,16,3853
12891,23,13,22,4901
13051,15,8,14,5227
13147,14,8,13,10531
13307,14,7,13,3553
13339,19,10,18,3005
13467,14,8,13,10787
13563,18,8,17,679
13595,21,11,20,2297
13723,18,7,17,229
13787,14,5,13,409
13851,16,9,15,8321
13915,15,8,14,5573
13979,14,8,13,11197
14075,15,7,14,1879
14171,14,8,13,11351
14331,20,11,19,4843
14363,17,10,16,12943
14491,14,7,13,3869
14587,22,12,21,3697
14747,17,10,16,13289
14843,14,6,13,1321
14939,15,8,14,5983
15195,14,7,13,4057
15259,15,6,14,679
15355,20,11,19,5189
15451,17,8,16,1547
15515,17,10,16,13981
15643,21,10,20,881
15675,14,4,13,155
15771,19,10,18,3553
15963,15,7,14,2131
16027,18,9,17,2407
16123,17,9,16,4843
16411,19,10,18,3697
16635,18,10,17,7495
16795,19,11,18,11351
16987,24,13,23,3229
17147,16,9,15,10301
17243,24,14,23,9833
17499,22,12,21,4435
17659,17,10,16,15913
18011,18,9,17,2705
18267,22,13,21,13889
18523,17,10,16,16691
18715,15,8,14,7495
19035,16,9,15,11435
19099,18,10,17,8605
19451,16,8,15,3895
19547,18,10,17,8807
19707,18,10,17,8879
19739,21,11,20,3335
19995,21,12,20,10135
20091,16,5,15,149
20475,18,8,17,1025
20507,16,9,15,12319
20571,21,12,20,10427
20635,18,8,17,1033
20763,23,11,22,877
21019,22,12,21,5327
21275,20,11,19,7189
21339,16,8,15,4273
21499,16,7,15,1435
21595,17,10,16,19459
21659,16,8,15,4337
21979,16,5,15,163
22171,15,8,14,8879
22363,17,8,16,2239
22555,19,10,18,5081
22619,22,13,21,17197
22683,17,7,16,757
22811,16,9,15,13703
22939,18,9,17,3445
23035,15,6,14,1025
23387,16,7,15,1561
23547,20,11,19,7957
23579,19,11,18,15935
23707,18,10,17,10681
23803,16,9,15,14299
23835,17,9,16,7159
23867,16,4,15,59
23963,17,10,16,21593
24315,22,13,21,18487
24347,24,14,23,13883
24571,17,10,16,22141
24603,24,14,23,14029
24667,23,13,22,9377
24731,17,10,16,22285
24923,15,6,14,1109
25115,16,8,15,5029
25371,17,10,16,22861
25691,16,9,15,15433
25851,18,10,17,11647
26139,17,8,16,2617
26267,16,9,15,15779
26459,18,10,17,11921
26619,18,10,17,11993
26651,15,8,14,10673
26699,17,3,16,11
26715,22,13,21,20311
26875,22,12,21,6811
27035,21,12,20,13703
27163,16,7,15,1813
27291,17,9,16,8197
27675,17,10,16,24937
27739,17,10,16,24995
28059,15,8,14,11237
28187,19,11,18,19049
28411,16,8,15,5689
28507,17,10,16,25687
28955,23,11,22,1223
29083,15,8,14,11647
29211,22,12,21,7403
29275,24,14,23,16693
29339,23,13,22,11153
29435,17,8,16,2947
29467,16,9,15,17701
29787,24,14,23,16985
29947,15,8,14,11993
30107,15,7,14,4019
30235,19,10,18,6811
30299,16,8,15,6067
30459,16,7,15,2033
30715,16,9,15,18451
30747,17,9,16,9235
30971,17,10,16,27907
31131,21,12,20,15779
31323,23,8,22,49
31387,22,13,21,23863
31643,22,6,21,11
31771,16,9,15,19085
31835,15,8,14,12749
31899,17,9,16,9581
32155,18,9,17,4829
32283,17,10,16,29089
32347,16,7,15,2159
32507,22,13,21,24715
32603,16,9,15,19585
32763,18,10,17,14761
32859,20,10,19,3701
32923,18,10,17,14833
33179,16,9,15,19931
33531,18,10,17,15107
33563,22,13,21,25517
33627,24,14,23,19175
33819,21,12,20,17141
34043,17,9,16,10225
34395,24,14,23,19613
34651,17,10,16,31223
34907,20,11,19,11795
35067,16,9,15,21065
35099,18,8,17,1757
35419,17,10,16,31915
35483,22,13,21,26977
35579,17,10,16,32059
35867,21,12,20,18179
35931,20,9,19,1349
35995,23,12,22,4561
36379,16,9,15,21853
36635,18,10,17,16505
36891,17,10,16,33241
36955,16,9,15,22199
37403,19,11,18,25277
37467,22,10,21,1055
37659,22,13,21,28631
37979,20,11,19,12833
38171,18,10,17,17197
38427,17,10,16,34625
38555,19,8,18,965
39163,24,14,23,22331
39195,17,10,16,35317
39323,21,12,20,19931
39419,16,6,15,877
39675,16,9,15,23833
39931,16,9,15,23987
39963,21,12,20,20255
40187,17,10,16,36211
40347,22,12,21,10225
40475,24,13,23,7693
40699,22,13,21,30943
40955,17,9,16,12301
41115,17,9,16,12349
41243,18,10,17,18581
41307,16,6,15,919
41563,16,9,15,24967
41627,19,10,18,9377
41723,17,10,16,37595
41755,22,13,21,31745
41819,16,9,15,25121
42075,20,10,19,4739
42139,16,9,15,25313
42587,23,13,22,16189
42651,17,10,16,38431
42843,19,9,18,3217
43003,23,12,22,5449
43035,16,8,15,8617
43099,24,14,23,24575
43419,23,13,22,16505
43611,24,10,23,307
43675,22,13,21,33205
43803,23,13,22,16651
44059,21,12,20,22331
44123,20,11,19,14909
44443,16,8,15,8899
44571,23,13,22,16943
44699,19,10,18,10069
44891,19,11,18,30337
45083,18,10,17,20311
45339,16,9,15,27235
45467,20,8,19,569
45595,16,9,15,27389
45851,18,10,17,20657
46107,21,12,20,23369
46331,16,8,15,9277
46491,16,7,15,3103
46619,18,9,17,7001
46875,22,12,21,11879
47099,17,10,16,42439
47355,20,11,19,16001
47387,18,10,17,21349
47899,21,12,20,24277
48155,18,10,17,21695
48219,16,8,15,9655
48283,24,12,23,3059
48379,20,10,19,5449
48539,22,12,21,12301
48795,16,9,15,29311
48891,16,9,15,29369
48987,19,10,18,11035
49147,22,12,21,12455
49179,22,12,21,12463
49307,21,12,20,24991
49403,20,11,19,16693
49563,17,10,16,44659
49915,21,9,20,937
49947,21,12,20,25315
50267,17,10,16,45293
50779,16,9,15,30503
50843,19,10,18,11453
51035,19,11,18,34489
51451,20,10,19,5795
51611,20,10,19,5813
51803,17,9,16,15559
51867,19,11,18,35051
51963,21,11,20,8779
51995,21,12,20,26353
52219,19,8,18,1307
52315,20,11,19,17677
52475,20,11,19,17731
52507,17,10,16,47311
52763,18,10,17,23771
52859,19,5,18,49
53019,24,12,23,3359
53083,22,13,21,40357
53243,16,8,15,10661
53275,17,9,16,16001
53339,17,10,16,48061
53403,16,8,15,10693
54043,17,10,16,48695
54107,17,8,16,5417
