r,n,s,S,c
54267,17,7,16,1811
54299,24,14,23,30961
54427,17,8,16,5449
54555,24,13,23,10369
54747,17,5,16,203
54811,22,13,21,41671
55131,16,8,15,11039
55291,19,10,18,12455
55323,24,12,23,3505
55451,16,7,15,3701
55579,17,9,16,16693
55707,16,9,15,33463
55963,17,10,16,50425
56059,21,10,20,3157
56155,18,7,17,937
56315,17,10,16,50743
56347,17,10,16,50771
56475,19,11,18,38165
56571,17,9,16,16991
56603,16,9,15,34001
56635,18,4,17,35
57179,17,10,16,51521
57339,22,12,21,14531
57435,24,14,23,32749
57499,21,12,20,29143
57755,20,10,19,6505
57883,17,8,16,5795
57947,17,10,16,52213
58107,21,11,20,9817
58139,21,12,20,29467
58203,19,10,18,13111
58395,22,13,21,44395
58459,18,9,17,8779
58523,19,10,18,13183
58619,20,11,19,19807
58907,16,8,15,11795
59035,17,9,16,17731
59227,19,11,18,40025
59387,19,11,18,40133
59467,16,3,15,49
59483,24,14,23,33917
59643,17,10,16,53741
59931,21,7,20,125
60059,16,9,15,36077
60571,17,10,16,54577
60955,17,10,16,54923
61179,17,8,16,6125
61275,22,13,21,46585
61531,18,10,17,27721
61691,22,13,21,46901
61723,17,10,16,55615
61979,18,10,17,27923
62107,22,12,21,15739
62203,16,8,15,12455
62235,19,9,18,4673
62491,22,13,21,47509
62555,23,13,22,23779
63003,22,13,21,47899
63067,18,8,17,3157
63227,18,7,17,1055
63259,19,11,18,42749
63483,17,9,16,19067
63515,16,9,15,38153
64091,16,8,15,12833
64155,23,12,22,8129
64251,17,10,16,57893
64283,19,11,18,43441
64411,16,6,15,1433
64507,19,10,18,14531
64539,20,9,19,2423
64667,16,9,15,38845
64923,16,9,15,38999
65115,17,7,16,2173
65179,17,10,16,58729
65275,23,10,22,919
65371,18,9,17,9817
65531,19,11,18,44285
65691,19,11,18,44393
65787,22,13,21,50015
65819,22,13,21,50039
65947,17,9,16,19807
66139,18,10,17,29797
66299,21,11,20,11201
66331,19,11,18,44825
66395,17,10,16,59825
66587,20,11,19,22499
66715,17,10,16,60113
67163,17,10,16,60517
67835,18,9,17,10187
68635,20,11,19,23191
68859,24,14,23,39263
68891,19,11,18,46555
69147,22,9,21,649
69403,19,11,18,46901
69467,22,13,21,52813
69723,17,9,16,20941
69883,22,13,21,53129
69915,19,10,18,15749
70171,17,10,16,63227
70427,19,11,18,47593
70939,19,11,18,47939
71195,24,14,23,40595
71771,24,12,23,4547
71931,23,13,22,27343
71963,24,14,23,41033
72091,17,10,16,64957
72187,17,6,16,803
72347,23,12,22,9167
72443,18,9,17,10879
72699,17,9,16,21835
72731,20,11,19,24575
72987,19,10,18,16441
73243,22,11,21,6187
73371,18,10,17,33055
73467,17,10,16,66197
73563,22,13,21,55927
73819,22,12,21,18707
74011,19,11,18,50015
74075,20,6,19,103
74331,17,9,16,22325
74395,22,12,21,18853
74587,18,9,17,11201
74843,24,13,23,14225
74907,18,9,17,11249
75355,18,10,17,33949
75803,17,8,16,7589
76187,24,14,23,43441
76443,18,10,17,34439
76571,17,10,16,68993
77211,18,8,17,3865
77339,22,11,21,6533
77467,21,12,20,39263
77851,20,11,19,26305
77915,22,12,21,19745
78107,17,9,16,23459
78363,21,9,20,1471
78619,19,11,18,53129
78875,17,10,16,71069
79099,17,8,16,7919
79259,17,7,16,2645
79899,20,10,19,8999
80155,19,11,18,54167
80283,18,10,17,36169
80891,23,13,22,30749
80923,20,11,19,27343
80987,19,8,18,2027
81051,18,10,17,36515
81179,17,10,16,73145
81307,17,10,16,73261
81563,17,9,16,24497
81659,18,9,17,12263
81755,22,13,21,62155
81947,17,10,16,73837
82075,23,13,22,31199
82171,17,10,16,74039
83035,21,12,20,42085
83195,18,10,17,37481
83227,22,12,21,21091
83547,17,9,16,25093
83611,21,12,20,42377
84059,19,10,18,18935
84219,24,13,23,16007
84635,17,10,16,76259
84763,22,13,21,64441
85083,17,10,16,76663
85147,22,13,21,64733
85243,17,10,16,76807
85531,22,11,21,7225
86011,17,8,16,8611
86107,22,12,21,21821
86171,17,8,16,8627
86555,21,11,20,14623
86811,23,13,22,32999
87131,19,10,18,19627
87323,22,12,21,22129
87899,22,8,21,275
88091,17,10,16,79373
88219,24,7,23,23
88475,17,9,16,26573
89083,23,13,22,33863
89243,17,10,16,80411
89371,18,9,17,13421
89499,18,10,17,40321
89947,24,14,23,51287
90107,18,10,17,40595
90267,18,10,17,40667
90395,21,12,20,45815
90715,24,14,23,51725
90779,24,14,23,51761
90907,18,10,17,40955
91387,17,10,16,82343
91419,22,12,21,23167
91675,18,8,17,4589
91739,22,13,21,69745
91995,17,10,16,82891
92155,17,10,16,83035
92235,18,3,17,19
92411,21,12,20,46837
92571,22,12,21,23459
92827,20,9,19,3485
92955,22,13,21,70669
93211,18,10,17,41993
93275,19,10,18,21011
93339,22,13,21,70961
93467,23,12,22,11843
93851,23,13,22,35675
94235,23,13,22,35821
94299,19,11,18,63725
94747,21,11,20,16007
94875,20,11,19,32057
94971,19,8,18,2377
95771,17,10,16,86293
96027,24,13,23,18251
96283,18,9,17,14459
96507,19,10,18,21739
96539,21,12,20,48929
96667,22,12,21,24497
96859,17,8,16,9697
96923,20,11,19,32749
97019,22,13,21,73759
97051,24,14,23,55337
97179,17,6,16,1081
97275,23,13,22,36977
97435,21,9,20,1829
97563,24,12,23,6181
97691,17,9,16,29341
97819,18,10,17,44069
98299,17,10,16,88571
98331,24,13,23,18689
98395,17,10,16,88657
98459,17,10,16,88715
98555,19,11,18,66601
98907,19,11,18,66839
99067,17,10,16,89263
99163,22,13,21,75389
99579,19,9,18,7477
99931,22,13,21,75973
99995,22,13,21,76021
100187,22,10,21,2821
100635,17,8,16,10075
100955,19,10,18,22741
101019,20,11,19,34133
101115,19,10,18,22777
101467,17,9,16,30475
101531,21,11,20,17153
101627,19,11,18,68677
102171,17,10,16,92059
102427,18,10,17,46145
102683,21,12,20,52043
103003,17,10,16,92809
103515,22,13,21,78697
103707,17,10,16,93443
103963,18,10,17,46837
104091,17,8,16,10421
104475,22,13,21,79427
104731,18,10,17,47183
104859,22,12,21,26573
105627,21,11,20,17845
105723,19,10,18,23815
105883,21,12,20,53665
106139,20,11,19,35863
106491,21,9,20,1999
106523,21,12,20,53989
106651,22,9,21,1001
106747,23,13,22,40577
106779,17,10,16,96211
107163,17,10,16,96557
107259,19,10,18,24161
107611,17,10,16,96961
107771,19,11,18,72829
108123,19,11,18,73067
108187,20,10,19,12185
108379,17,9,16,32551
108539,21,11,20,18337
109147,17,10,16,98345
109211,20,11,19,36901
109595,22,12,21,27773
110235,17,10,16,99325
110619,17,10,16,99671
111003,17,8,16,11113
111195,21,12,20,56357
111387,17,10,16,100363
111643,24,12,23,7073
111899,24,14,23,63803
112155,17,9,16,33685
112635,21,10,20,6343
112667,22,13,21,85655
112891,22,13,21,85825
112923,17,10,16,101747
113051,19,11,18,76397
113659,24,14,23,64807
113691,17,10,16,102439
113819,21,11,20,19229
113915,17,10,16,102641
114075,21,12,20,57817
114203,24,14,23,65117
114523,17,10,16,103189
114683,21,11,20,19375
114715,21,12,20,58141
114843,22,11,21,9701
114939,23,13,22,43691
114971,23,13,22,43703
115099,19,10,18,25927
115291,21,12,20,58433
115355,23,13,22,43849
115451,17,9,16,34675
115803,18,10,17,52171
115963,19,11,18,78365
116379,17,10,16,104861
116987,17,10,16,105409
117147,17,10,16,105553
117339,18,9,17,17621
117755,17,8,16,11789
117851,24,13,23,22399
118043,20,10,19,13295
118299,17,10,16,106591
118395,17,5,16,439
118555,21,11,20,20029
118811,19,9,18,8921
118875,18,10,17,53555
119387,21,12,20,60509
119579,22,10,21,3367
119643,18,8,17,5989
119803,18,7,17,1999
119835,19,11,18,80981
119899,22,13,21,91153
119963,18,8,17,6005
120091,20,11,19,40577
120283,18,5,17,223
120827,17,10,16,108869
120859,21,12,20,61255
120923,22,13,21,91931
121115,20,9,19,4547
121499,18,10,17,54737
121595,17,10,16,109561
121691,17,7,16,4061
121851,22,10,21,3431
121883,19,10,18,27455
122107,18,9,17,18337
122171,17,4,16,151
122267,19,11,18,82625
122395,23,13,22,46525
122715,18,10,17,55285
122875,21,11,20,20759
122907,19,11,18,83057
123035,22,11,21,10393
123131,23,13,22,46805
123163,20,11,19,41615
123291,17,10,16,111089
123419,19,8,18,3089
123483,18,10,17,55631
123547,23,13,22,46963
123675,22,11,21,10447
123739,17,10,16,111493
123995,17,9,16,37241
124059,17,10,16,111781
124571,18,9,17,18707
125019,22,13,21,95045
125179,18,10,17,56395
125467,17,7,16,4187
125531,21,12,20,63623
125979,19,11,18,85133
126107,18,10,17,56813
126491,19,10,18,28493
126715,18,8,17,6343
127003,19,11,18,85825
127067,17,10,16,114491
127259,20,10,19,14333
127515,17,10,16,114895
127771,17,9,16,38375
128603,17,8,16,12875
128763,17,7,16,4297
129019,18,9,17,19375
129275,22,13,21,98281
129307,20,11,19,43691
129787,18,10,17,58471
130043,17,10,16,117173
130075,17,9,16,39067
130587,19,11,18,88247
130651,20,7,19,545
130715,18,10,17,58889
130811,17,10,16,117865
130907,17,9,16,39317
131163,24,13,23,24929
131483,18,9,17,19745
131739,21,12,20,66769
131931,18,10,17,59437
132187,24,14,23,75371
132251,18,10,17,59581
132699,18,10,17,59783
133723,21,12,20,67775
133787,24,14,23,76283
134395,22,13,21,102173
134811,22,12,21,34163
135195,19,11,18,91361
135259,21,9,20,2539
135707,19,10,18,30569
136731,19,11,18,92399
137307,21,11,20,23197
137499,20,11,19,46459
137627,18,10,17,62003
137723,19,6,18,383
137883,21,12,20,69883
138235,18,9,17,20759
138651,22,13,21,105409
139003,18,10,17,62623
139355,21,11,20,23543
139515,24,14,23,79549
139867,20,9,19,5251
139931,21,12,20,70921
140027,22,12,21,35485
140539,24,13,23,26711
141339,18,8,17,7075
141563,24,14,23,80717
142107,18,10,17,64021
142363,24,14,23,81173
143003,22,12,21,36239
143387,22,13,21,109009
143451,21,11,20,24235
143643,18,9,17,21571
143963,20,11,19,48643
144411,18,10,17,65059
144635,21,8,20,905
144667,23,13,22,54991
144795,22,7,21,151
146683,22,13,21,111515
146715,18,10,17,66097
146843,18,10,17,66155
146971,21,12,20,74489
147099,19,9,18,11045
147483,18,10,17,66443
147707,22,10,21,4159
148059,20,11,19,50027
148123,19,11,18,100097
148315,24,13,23,28189
148571,23,11,22,6275
148635,22,13,21,112999
149083,20,9,19,5597
149147,24,12,23,9449
149915,24,13,23,28493
150171,19,10,18,33827
150619,22,10,21,4241
150779,21,10,20,8491
150811,22,13,21,114653
151195,19,11,18,102173
151547,19,8,18,3793
151643,21,11,20,25619
151707,19,8,18,3797
152603,22,13,21,116015
153115,21,12,20,77603
153595,23,13,22,58385
153627,18,10,17,69211
154011,21,9,20,2891
154267,19,11,18,104249
154779,19,10,18,34865
155291,19,11,18,104941
155419,24,13,23,29539
155483,19,11,18,105071
155675,24,14,23,88763
156059,22,13,21,118643
156251,20,11,19,52795
156411,24,14,23,89183
156827,22,13,21,119227
156923,21,10,20,8837
156955,21,12,20,79549
157275,20,11,19,53141
157531,19,10,18,35485
157691,19,10,18,35521
157947,23,11,22,6671
158107,21,11,20,26711
158875,19,11,18,107363
159003,21,12,20,80587
159259,21,12,20,80717
160411,22,13,21,121951
160795,22,13,21,122243
161307,18,10,17,72671
161883,23,13,22,61535
162203,21,11,20,27403
162395,18,8,17,8129
162459,24,13,23,30877
162555,20,11,19,54925
162715,18,6,17,905
163099,21,12,20,82663
163227,24,9,23,383
163483,19,11,18,110477
163835,19,10,18,36905
163931,18,10,17,73853
163995,19,10,18,36941
164603,20,10,19,18539
164699,19,11,18,111299
165019,19,11,18,111515
165467,20,11,19,55909
166171,19,8,18,4159
166555,23,13,22,63311
166683,22,13,21,126719
167003,18,9,17,25079
167707,19,10,18,37777
167771,21,12,20,85031
168219,22,12,21,42629
168475,23,12,22,21347
168539,18,10,17,75929
168987,24,14,23,96353
169243,19,10,18,38123
169627,18,8,17,8491
169979,24,14,23,96919
170395,21,11,20,28787
171291,21,12,20,86815
171547,22,13,21,130417
171771,20,11,19,58039
171867,21,12,20,87107
172315,19,10,18,38815
172699,18,10,17,77803
172827,19,11,18,116791
173147,18,10,17,78005
173915,18,9,17,26117
174171,24,13,23,33103
174683,18,10,17,78697
174747,23,13,22,66425
174843,22,13,21,132923
174875,19,11,18,118175
175131,21,11,20,29587
175259,22,12,21,44413
175643,22,13,21,133531
175771,18,10,17,79187
175963,21,12,20,89183
176539,18,8,17,8837
176923,19,10,18,39853
177179,21,11,20,29933
177691,20,9,19,6671
178459,19,10,18,40199
178939,22,13,21,136037
179227,21,10,20,10093
179355,24,14,23,102265
179451,18,10,17,80845
179483,19,11,18,121289
179611,24,11,23,3793
179739,20,11,19,60731
180059,18,10,17,81119
180251,23,11,22,7613
180315,22,13,21,137083
180987,18,9,17,27179
181083,22,12,21,45889
181403,23,12,22,22985
181915,18,10,17,81955
182107,21,12,20,92297
182523,18,10,17,82229
182683,18,10,17,82301
182939,23,13,22,69539
183035,22,13,21,139151
183291,18,8,17,9175
183835,20,10,19,20705
183931,18,5,17,341
184091,24,14,23,104965
184571,24,14,23,105239
184923,23,12,22,23431
185627,22,13,21,141121
185883,20,11,19,62807
186139,23,12,22,23585
186363,18,10,17,83959
186395,22,11,21,15745
187131,18,10,17,84305
187163,21,12,20,94859
187227,20,7,19,781
187547,22,12,21,47527
187707,20,4,19,29
188059,23,13,22,71485
188187,22,12,21,47689
188507,24,14,23,107483
188827,18,10,17,85069
189179,23,13,22,71911
189275,18,10,17,85271
189531,19,9,18,14231
189595,18,10,17,85415
189723,22,13,21,144235
190043,24,14,23,108359
190299,21,12,20,96449
190459,22,12,21,48265
190555,19,11,18,128771
191003,18,7,17,3187
191067,22,12,21,48419
191227,21,12,20,96919
191259,21,12,20,96935
191579,24,14,23,109235
192155,24,13,23,36521
192603,19,10,18,43385
193051,20,10,19,21743
193307,18,9,17,29029
193627,19,11,18,130847
194075,20,11,19,65575
194139,19,8,18,4859
194299,19,7,18,1621
194331,23,12,22,24623
195355,21,12,20,99011
195579,18,10,17,88111
195611,18,9,17,29375
195835,23,13,22,74441
195867,23,13,22,74453
196347,18,10,17,88457
196443,20,9,19,7375
196603,23,12,22,24911
196699,19,11,18,132923
196763,21,12,20,99725
197211,19,10,18,44423
197371,23,13,22,75025
197403,21,12,20,100049
197723,19,11,18,133615
198299,22,13,21,150755
198907,19,9,18,14935
199067,22,13,21,151339
199259,22,12,21,50495
199419,21,12,20,101071
199707,24,14,23,113869
199963,24,13,23,38005
200219,18,9,17,30067
200475,22,12,21,50803
200539,20,11,19,67759
200955,19,11,18,135799
200987,18,10,17,90547
201307,19,11,18,136037
201499,21,12,20,102125
202011,22,13,21,153577
202843,24,14,23,115657
203003,19,11,18,137183
203419,22,11,21,17183
203515,19,9,18,15281
204027,23,13,22,77555
204059,18,10,17,91931
204443,21,10,20,11513
204635,20,11,19,69143
205147,18,6,17,1141
205211,23,13,22,78005
205467,24,11,23,4339
205563,21,12,20,104185
205659,20,9,19,7721
205915,19,11,18,139151
205979,20,9,19,7733
206427,19,10,18,46499
206491,22,13,21,156983
207099,19,11,18,139951
207259,24,14,23,118175
207451,19,11,18,140189
207515,22,10,21,5843
207611,19,11,18,140297
208027,20,11,19,70289
208283,19,8,18,5213
208539,21,11,20,35231
209435,18,9,17,31451
209691,21,12,20,106277
210971,18,10,17,95045
211355,19,10,18,47609
211707,19,11,18,143065
211739,24,13,23,40243
212059,18,8,17,10615
212123,20,10,19,23891
212219,19,11,18,143411
212731,19,9,18,15973
212763,24,14,23,121313
212827,20,11,19,71911
213083,23,12,22,26999
213147,22,13,21,162043
213275,24,13,23,40535
213403,23,13,22,81119
213787,22,13,21,162529
213851,20,11,19,72257
214171,20,11,19,72365
214267,19,10,18,48265
214683,21,11,20,36269
215131,18,10,17,96919
215291,19,11,18,145487
215451,19,11,18,145595
215835,23,13,22,82043
216603,24,14,23,123503
217371,23,13,22,82627
217627,22,13,21,165449
218203,18,10,17,98303
218971,18,8,17,10961
219131,20,11,19,74041
219291,18,7,17,3659
219899,19,11,18,148601
220187,22,13,21,167395
220443,22,9,21,2069
220571,19,10,18,49685
220923,19,11,18,149293
220955,20,11,19,74657
221179,20,10,19,24911
221339,20,10,19,24929
221435,21,12,20,112229
221595,19,11,18,149747
221979,20,10,19,25001
222043,20,11,19,75025
222363,20,11,19,75133
222491,23,11,22,9397
222747,19,8,18,5575
222811,23,13,22,84695
223307,19,3,18,23
223899,18,9,17,33623
224027,20,11,19,75695
224283,19,10,18,50521
224347,18,10,17,101071
224507,22,12,21,56893
224539,22,11,21,18967
224795,23,12,22,28483
225115,18,10,17,101417
225563,23,13,22,85741
225819,22,13,21,171677
226043,18,8,17,11315
226331,19,11,18,152947
227355,19,9,18,17071
227579,18,10,17,102527
228091,24,13,23,43351
228347,20,11,19,77155
228507,18,9,17,34315
228603,22,12,21,57931
228635,22,11,21,19313
228891,19,10,18,51559
229115,19,11,18,154829
229403,19,11,18,155023
229627,21,12,20,116381
230651,18,9,17,34637
231003,23,13,22,87809
231259,18,10,17,104185
231419,23,13,22,87967
231835,23,12,22,29375
232027,18,10,17,104531
232187,18,10,17,104603
232603,23,13,22,88417
232699,22,12,21,58969
233499,19,10,18,52597
233755,21,11,20,39491
234011,21,12,20,118603
235035,19,10,18,52943
235547,19,11,18,159175
235803,21,10,20,13279
236699,24,13,23,44987
236795,18,10,17,106679
236827,22,11,21,20005
237211,24,14,23,135253
237563,18,9,17,35675
237723,18,9,17,35699
237979,22,12,21,60307
238331,18,10,17,107371
238843,23,12,22,30263
239195,23,13,22,90923
239259,18,10,17,107789
239611,23,13,22,91081
241435,24,13,23,45887
241499,22,12,21,61199
242715,24,14,23,138391
243707,18,10,17,109793
243739,19,11,18,164711
244731,24,14,23,139541
245755,22,13,21,186833
245851,20,11,19,83069
246171,18,10,17,110903
246875,20,10,19,27805
247035,23,12,22,31301
247643,24,12,23,15689
247803,21,12,20,125593
247899,20,11,19,83761
248411,21,9,20,4663
248923,24,14,23,141931
249115,18,10,17,112229
249499,24,14,23,142259
249883,18,9,17,37525
249947,20,10,19,28151
250459,21,11,20,42313
250651,18,10,17,112921
250715,19,8,18,6275
250875,19,7,18,2093
250907,22,12,21,63583
