r,n,s,S,c
165223,18,10,17,74435
165479,24,13,23,31451
165607,22,10,21,4663
165799,20,11,19,56021
166247,24,13,23,31597
166311,18,6,17,925
166631,21,11,20,28151
166727,22,12,21,42251
166823,20,9,19,6263
167079,19,11,18,112907
167143,20,9,19,6275
167271,23,13,22,63583
167591,19,10,18,37751
168007,23,13,22,63863
168263,19,11,18,113707
168423,23,13,22,64021
168615,19,11,18,113945
168679,21,10,20,9499
168775,19,11,18,114053
169127,24,14,23,96433
169191,20,11,19,57167
169319,22,13,21,128723
169447,19,8,18,4241
169575,23,13,22,64459
169703,22,11,21,14335
170599,18,9,17,25619
170663,22,13,21,129745
170855,22,12,21,43297
171879,22,13,21,130669
172135,18,10,17,77549
172391,22,13,21,131059
172519,19,10,18,38861
172871,19,11,18,116821
173223,18,8,17,8671
173287,20,10,19,19517
173383,19,11,18,117167
173895,19,9,18,13057
173927,23,13,22,66113
173991,20,11,19,58789
174151,22,13,21,132397
174247,21,12,20,88313
174311,24,14,23,99389
174759,22,13,21,132859
175015,20,11,19,59135
175335,20,11,19,59243
175431,19,10,18,39517
175847,23,11,22,7427
176295,18,10,17,79423
176455,19,11,18,119243
176615,19,11,18,119351
177511,22,13,21,134951
177767,23,13,22,67573
178023,24,13,23,33835
178855,22,13,21,135973
179367,18,10,17,80807
179815,24,14,23,102527
180135,18,8,17,9017
180295,20,11,19,60919
180455,18,7,17,3011
181063,19,11,18,122357
181351,24,14,23,103403
181607,21,9,20,3409
181735,19,10,18,40937
182087,19,11,18,123049
182119,20,11,19,61535
182343,20,10,19,20537
182503,20,10,19,20555
182599,22,12,21,46273
182759,19,11,18,123503
182951,22,13,21,139087
183143,20,10,19,20627
183207,20,11,19,61903
183527,20,11,19,62011
183655,21,11,20,31027
183911,19,8,18,4603
184471,19,3,18,19
184999,24,13,23,35161
185063,18,9,17,27791
185191,20,11,19,62573
185447,19,10,18,41773
185511,18,10,17,83575
185671,21,12,20,94103
185703,21,11,20,31373
185959,21,12,20,94249
186279,18,10,17,83921
186535,21,12,20,94541
187111,24,14,23,106687
187207,18,8,17,9371
187495,19,11,18,126703
188519,19,9,18,14155
188743,18,10,17,85031
189511,20,11,19,64033
189671,18,9,17,28483
189767,21,12,20,96179
189799,21,11,20,32065
190055,19,10,18,42811
190279,19,11,18,128585
190567,19,11,18,128779
190791,22,12,21,48349
191143,22,13,21,145315
191815,18,9,17,28805
192423,18,10,17,86689
192999,21,12,20,97817
193191,18,10,17,87035
193351,18,10,17,87107
193863,21,12,20,98255
194663,19,10,18,43849
194919,22,11,21,16465
195175,24,12,23,12365
196199,19,10,18,44195
196711,19,11,18,132931
196775,24,13,23,37399
196967,23,10,22,2773
197959,18,10,17,89183
197991,21,11,20,33449
198471,23,13,22,75443
198567,24,14,23,113219
198727,18,9,17,29843
198823,22,13,21,151153
198887,18,9,17,29867
199143,21,12,20,100931
199495,18,10,17,89875
200007,21,12,20,101369
200423,18,10,17,90293
201543,22,13,21,153221
202663,21,12,20,102715
202919,22,13,21,154267
204871,18,10,17,92297
204903,19,11,18,138467
205287,21,12,20,104045
205639,22,13,21,156335
205895,23,13,22,78265
206439,22,13,21,156943
206695,24,14,23,117853
207015,20,11,19,69947
207079,23,13,22,78715
207335,18,10,17,93407
208039,20,10,19,23431
208199,21,12,20,105521
208231,22,13,21,158305
208807,21,12,20,105829
208967,22,12,21,52955
209063,20,11,19,70639
209575,22,9,21,1967
209735,22,13,21,159449
209767,22,13,21,159473
210279,18,10,17,94733
211047,18,9,17,31693
211111,20,10,19,23777
211623,24,11,23,4469
211815,18,10,17,95425
211879,19,8,18,5303
212039,19,7,18,1769
212071,21,12,20,107483
212135,20,11,19,71677
212199,19,8,18,5311
212519,19,5,18,197
212583,23,13,22,80807
213351,18,9,17,32039
213735,19,10,18,48145
214087,18,10,17,96449
214119,18,10,17,96463
214247,22,12,21,54293
214343,20,9,19,8047
214503,23,12,22,27179
214951,19,10,18,48419
215271,23,13,22,81829
215367,20,11,19,72769
215655,18,8,17,10795
215719,23,10,22,3037
215783,19,11,18,145819
216807,19,9,18,16279
216935,23,12,22,27487
216999,21,12,20,109981
217159,22,12,21,55031
217415,20,10,19,24487
217575,22,13,21,165409
217767,22,11,21,18395
218215,21,12,20,110597
218279,20,11,19,73753
218343,19,10,18,49183
218439,20,11,19,73807
218727,18,10,17,98539
218855,19,11,18,147895
218951,22,8,21,685
218983,22,12,21,55493
219047,19,11,18,148025
219239,23,12,22,27779
219495,18,10,17,98885
220519,22,13,21,167647
220775,23,13,22,83921
221031,24,12,23,14003
221255,19,9,18,16613
221511,20,11,19,74845
221671,22,13,21,168523
222023,21,10,20,12503
222055,21,12,20,112543
222535,20,11,19,75191
222823,22,13,21,169399
222887,18,7,17,3719
222951,19,10,18,50221
223303,24,12,23,14147
223463,21,12,20,113257
223591,24,14,23,127487
223719,20,9,19,8399
224071,24,13,23,42587
224103,21,12,20,113581
224167,19,10,18,50495
224487,19,10,18,50567
224935,21,10,20,12667
224999,19,11,18,152047
225191,19,11,18,152177
225351,19,11,18,152285
225767,20,11,19,76283
225959,22,11,21,19087
226119,21,11,20,38201
226663,23,13,22,86159
227175,22,12,21,57569
227239,24,13,23,43189
227431,23,12,22,28817
227495,18,9,17,34163
227943,18,10,17,102691
228199,21,12,20,115657
228519,22,13,21,173729
228711,22,13,21,173875
228967,23,13,22,87035
229447,19,11,18,155053
229863,20,10,19,25889
229959,18,6,17,1279
230119,24,14,23,131209
230471,19,9,18,17305
230727,20,11,19,77959
231239,22,10,21,6511
231335,23,13,22,87935
231911,20,11,19,78359
232103,18,9,17,34855
232263,21,11,20,39239
233191,19,11,18,157583
233575,20,8,19,2923
234343,19,10,18,52787
234599,22,13,21,178351
235367,19,11,18,159053
235879,19,9,18,17711
236391,21,12,20,119809
236647,20,10,19,26653
236871,18,8,17,11857
236903,19,11,18,160091
237031,18,7,17,3955
237639,19,11,18,160589
237895,22,13,21,180857
238663,19,11,18,161281
238695,24,14,23,136099
238951,19,10,18,53825
239079,20,10,19,26927
239335,18,9,17,35941
239527,23,13,22,91049
239719,20,10,19,26999
239943,18,10,17,108097
239975,19,11,18,162167
240103,20,11,19,81127
