r,n,s,S,c
7,8,4,7,5
23,8,3,7,5
39,10,5,9,19
55,6,3,5,47
87,7,3,6,37
135,9,4,8,43
151,13,3,12,1
199,10,5,9,95
231,15,7,14,31
295,9,5,8,281
327,23,13,22,125
359,17,10,16,325
391,11,4,10,31
407,9,3,8,43
423,12,6,11,151
455,9,5,8,433
487,24,12,23,31
551,11,5,10,131
583,16,6,15,13
615,13,7,12,329
663,10,3,9,35
679,14,8,13,545
711,11,5,10,169
839,16,9,15,505
903,10,4,9,143
935,15,7,14,125
999,14,6,13,89
1095,16,9,15,659
1127,23,12,22,143
1175,11,3,10,31
1191,14,8,13,955
1255,21,12,20,637
1351,17,10,16,1219
1415,15,4,14,7
1447,11,6,10,1031
1511,21,12,20,767
1575,12,5,11,187
1607,11,6,10,1145
1703,14,7,13,455
1735,13,5,12,103
1767,22,13,21,1345
2023,11,6,10,1441
2119,17,9,16,637
2199,12,3,11,29
2279,17,9,16,685
2407,18,10,17,1085
2471,16,6,15,55
2631,12,6,11,937
2663,15,8,14,1067
2727,16,9,15,1639
2791,19,10,18,629
2887,17,10,16,2603
2983,16,9,15,1793
3047,12,6,11,1085
3143,13,7,12,1679
3239,20,10,19,365
3303,16,9,15,1985
3463,12,4,11,137
3559,13,7,12,1901
3623,13,5,12,215
3687,15,8,14,1477
3783,12,5,11,449
3815,17,10,16,3439
3911,13,7,12,2089
4007,19,9,18,301
4167,21,12,20,2113
4199,16,8,15,841
4247,15,3,14,7
4327,13,7,12,2311
4423,24,13,23,841
4455,14,8,13,3569
4679,13,6,12,833
4711,15,7,14,629
4775,21,10,20,269
4935,24,14,23,2815
5031,13,7,12,2687
5095,13,6,12,907
5191,14,8,13,4159
5223,24,12,23,331
5287,20,11,19,1787
5511,13,4,12,109
5607,16,8,15,1123
5799,13,7,12,3097
5831,14,5,13,173
5863,19,10,18,1321
5959,15,8,14,2387
6055,19,11,18,4093
6215,14,8,13,4979
6247,18,10,17,2815
6375,14,8,13,5107
6503,16,9,15,3907
6567,13,6,12,1169
6631,20,8,19,83
6759,16,9,15,4061
6983,15,8,14,2797
7015,18,10,17,3161
7079,14,8,13,5671
7239,14,7,13,1933
7271,22,12,21,1843
7399,14,8,13,5927
7495,16,8,15,1501
7655,16,7,15,511
7719,14,5,13,229
7783,18,9,17,1169
7847,15,8,14,3143
7911,14,8,13,6337
8007,15,7,14,1069
8039,21,12,20,4075
8103,14,8,13,6491
8263,17,10,16,7447
8423,14,7,13,2249
8519,20,11,19,2879
8551,18,10,17,3853
8775,14,6,13,781
8871,15,8,14,3553
9063,22,12,21,2297
9127,14,7,13,2437
9191,15,6,14,409
9319,18,10,17,4199
9383,16,8,15,1879
9447,21,12,20,4789
9543,20,10,19,1075
9607,14,4,13,95
9703,21,12,20,4919
9895,15,7,14,1321
9959,16,9,15,5983
10055,16,9,15,6041
10151,19,10,18,2287
10311,21,12,20,5227
10343,21,12,20,5243
10471,23,12,22,1327
10567,20,11,19,3571
10663,14,6,13,949
10727,17,10,16,9667
10855,14,8,13,8695
11431,17,10,16,10301
11879,14,8,13,9515
11943,16,9,15,7175
12007,19,10,18,2705
12199,19,11,18,8245
12391,14,8,13,9925
12439,14,3,13,41
12615,20,10,19,1421
12647,15,8,14,5065
12775,20,10,19,1439
12903,14,7,13,3445
12967,17,9,16,3895
13031,19,11,18,8807
13127,22,11,21,1109
13159,22,12,21,3335
13383,19,8,18,335
13479,20,11,19,4555
13639,20,11,19,4609
13671,17,10,16,12319
13799,14,8,13,11053
13927,18,10,17,6275
14023,19,5,18,13
14151,14,8,13,11335
14183,21,12,20,7189
14407,16,8,15,2885
14439,17,9,16,4337
14503,17,10,16,13069
14567,16,8,15,2917
14823,14,8,13,11873
15175,14,8,13,12155
15207,17,10,16,13703
15271,17,8,16,1529
15431,17,7,16,515
15591,17,8,16,1561
15687,14,8,13,12565
15847,14,7,13,4231
15911,17,5,16,59
16039,14,8,13,12847
16103,15,8,14,6449
16199,14,7,13,4325
16295,16,8,15,3263
16455,19,10,18,3707
16487,21,12,20,8357
16615,16,7,15,1109
16743,17,9,16,5029
16871,16,9,15,10135
16967,15,6,14,755
17127,17,10,16,15433
17223,22,10,21,485
17319,18,7,17,289
17479,17,10,16,15751
17511,17,10,16,15779
17639,19,11,18,11921
17735,17,9,16,5327
17767,16,9,15,10673
17799,18,4,17,11
18023,22,13,21,13703
18343,17,10,16,16529
18503,21,12,20,9379
18663,23,12,22,2365
18759,24,14,23,10697
18791,22,13,21,14287
18855,15,6,14,839
18919,20,10,19,2131
19047,17,8,16,1907
19111,17,10,16,17221
19271,24,11,23,407
19303,24,12,23,1223
19367,19,10,18,4363
19559,24,14,23,11153
19623,18,9,17,2947
19687,19,10,18,4435
19783,20,11,19,6685
20071,16,8,15,4019
20199,17,9,16,6067
20391,19,11,18,13781
20551,19,11,18,13889
20583,15,8,14,8243
20631,16,3,15,17
20647,23,13,22,7849
20807,17,10,16,18749
21095,23,7,22,11
21223,16,9,15,12749
21735,17,10,16,19585
21991,15,8,14,8807
22119,17,10,16,19931
22343,17,8,16,2237
22695,18,10,17,10225
22887,17,10,16,20623
23015,15,8,14,9217
23143,18,10,17,10427
23271,21,12,20,11795
23367,16,8,15,4679
23399,19,9,18,1757
23879,15,8,14,9563
23911,22,13,21,18179
24039,15,7,14,3209
24167,24,14,23,13781
24231,18,8,17,1213
24391,18,7,17,407
24423,19,11,18,16505
24647,17,9,16,7403
24679,16,9,15,14825
24935,23,13,22,9479
25255,16,8,15,5057
25319,21,12,20,12833
25415,17,10,16,22901
25447,19,11,18,17197
25575,16,6,15,569
25671,19,10,18,5783
25703,20,9,19,965
25767,15,8,14,10319
25831,16,9,15,15517
26087,16,9,15,15671
26215,22,13,21,19931
26279,17,7,16,877
26343,17,10,16,23737
26439,21,10,20,1489
26535,18,9,17,3985
26695,19,11,18,18041
26791,22,13,21,20369
26855,19,11,18,18149
27111,17,9,16,8143
27303,18,10,17,12301
27495,19,11,18,18581
27559,17,10,16,24833
27751,20,11,19,9377
27879,17,10,16,25121
27975,16,9,15,16805
28327,17,10,16,25525
28391,24,14,23,16189
28743,22,13,21,21853
28999,18,9,17,4355
29031,16,8,15,5813
29415,21,12,20,14909
29767,15,8,14,11921
29799,20,11,19,10069
29863,16,9,15,17939
29927,22,13,21,22753
30023,23,13,22,11413
30055,19,11,18,20311
30311,21,9,20,569
30407,15,5,14,451
30567,19,11,18,20657
30791,15,8,14,12331
30887,17,9,16,9277
30951,15,8,14,12395
31079,19,10,18,7001
31335,17,10,16,28235
31591,19,11,18,21349
31655,15,8,14,12677
31815,15,7,14,4247
31975,15,8,14,12805
32103,19,11,18,21695
32295,15,5,14,479
32359,23,13,22,12301
32487,16,8,15,6505
32679,15,8,14,13087
32839,22,13,21,24967
32871,22,13,21,24991
32935,21,12,20,16693
33127,23,13,22,12593
33255,17,10,16,29965
33351,17,6,16,371
33511,21,12,20,16985
33607,18,9,17,5047
33863,17,9,16,10171
33895,20,11,19,11453
34023,22,13,21,25867
34151,19,10,18,7693
34407,21,11,20,5813
34535,18,10,17,15559
34631,17,10,16,31205
34663,22,13,21,26353
34887,16,9,15,20957
34983,21,12,20,17731
35047,16,9,15,21053
35175,19,11,18,23771
35239,20,6,19,49
35495,17,9,16,10661
35559,21,12,20,18023
35751,18,9,17,5369
36071,18,9,17,5417
36167,22,13,21,27497
36519,18,10,17,16453
36775,16,9,15,22091
36935,22,13,21,28081
36967,17,8,16,3701
37607,18,10,17,16943
37735,17,10,16,34001
38119,22,13,21,28981
38375,18,8,17,1921
38503,21,11,20,6505
38631,23,12,22,4895
38759,22,13,21,29467
38823,24,13,23,7379
39015,20,11,19,13183
39079,21,12,20,19807
39271,17,9,16,11795
39399,16,8,15,7889
39527,22,9,21,371
39591,24,13,23,7525
39783,19,11,18,26885
40039,17,10,16,36077
40263,17,8,16,4031
40423,17,7,16,1349
40551,16,9,15,24359
41031,22,13,21,31195
41063,20,10,19,4625
41319,19,11,18,27923
41447,18,10,17,18673
41703,24,14,23,23779
42087,20,11,19,14221
42151,19,8,18,1055
42215,18,10,17,19019
42343,17,10,16,38153
42471,17,10,16,38269
42727,17,9,16,12833
42823,18,9,17,6431
42855,22,13,21,32581
42919,24,14,23,24473
43111,17,10,16,38845
43335,17,10,16,39047
43687,23,13,22,16607
43847,16,9,15,26339
43943,22,13,21,33409
44199,22,12,21,11201
44263,24,13,23,8413
44359,18,10,17,19985
44391,21,12,20,22499
44711,17,9,16,13429
44775,22,12,21,11347
44967,22,13,21,34187
45223,19,10,18,10187
45543,22,13,21,34625
45735,16,9,15,27473
45799,17,10,16,41267
46151,16,8,15,9241
46247,17,10,16,41671
46407,17,10,16,41815
46695,21,11,20,7889
46791,16,5,15,347
46951,22,13,21,35695
47175,17,8,16,4723
47207,16,9,15,28357
47271,21,12,20,23959
47335,17,8,16,4739
47719,22,11,21,4031
48039,16,8,15,9619
48199,16,7,15,3217
48231,24,13,23,9167
48295,19,10,18,10879
48359,16,8,15,9683
48487,21,12,20,24575
48679,16,5,15,361
49063,21,8,20,307
49223,22,13,21,37423
49255,17,10,16,44381
49383,21,7,20,103
49511,16,9,15,29741
49639,17,9,16,14909
50087,16,7,15,3343
50407,17,10,16,45419
50503,16,9,15,30337
50535,18,9,17,7589
50567,16,4,15,125
50663,18,10,17,22825
51015,24,14,23,29089
51047,22,13,21,38809
51111,23,13,22,19429
51271,18,10,17,23099
51431,18,10,17,23171
51559,23,12,22,6533
51815,16,8,15,10375
51879,23,13,22,19721
51943,23,13,22,19745
52071,18,10,17,23459
52135,22,13,21,39637
52391,16,9,15,31471
52551,17,10,16,47351
52583,21,12,20,26651
52839,18,8,17,2645
52967,16,9,15,31817
53159,17,10,16,47899
53319,17,10,16,48043
53399,18,3,17,11
53575,22,12,21,13577
53735,21,12,20,27235
53863,16,7,15,3595
53927,24,14,23,30749
53991,20,9,19,2027
54375,18,10,17,24497
54439,19,10,18,12263
54631,21,12,20,27689
55111,16,8,15,11035
55207,21,10,20,3109
55463,19,11,18,37481
55911,22,11,21,4723
56039,20,11,19,18935
56135,19,8,18,1405
56167,16,9,15,33739
56935,17,10,16,51301
56999,16,8,15,11413
57159,16,7,15,3815
57415,16,9,15,34489
57447,18,9,17,8627
57671,19,10,18,12991
57703,22,12,21,14623
57831,21,12,20,29311
58023,17,8,16,5809
58087,20,11,19,19627
58215,23,13,22,22129
58343,17,6,16,649
58471,16,9,15,35123
58599,23,9,22,275
58727,21,12,20,29765
58855,17,9,16,17677
58983,18,10,17,26573
59047,16,7,15,3941
59303,16,9,15,35623
59463,17,10,16,53579
59559,17,10,16,53665
59623,17,10,16,53723
59719,19,11,18,40357
59879,16,9,15,35969
60071,19,11,18,40595
60231,17,10,16,54271
60263,22,13,21,45815
60743,19,9,18,4561
61351,21,10,20,3455
61607,22,13,21,46837
61767,16,9,15,37103
61799,17,8,16,6187
62119,19,10,18,13993
62183,20,11,19,21011
62279,19,10,18,14029
62311,24,13,23,11843
62567,24,14,23,35675
62631,17,9,16,18811
62791,19,11,18,42433
62823,24,14,23,35821
63079,16,9,15,37891
63335,17,10,16,57067
63591,18,10,17,28649
63655,16,9,15,38237
63847,24,12,23,4045
64167,17,10,16,57817
64359,22,13,21,48929
64615,21,12,20,32749
64871,17,10,16,58451
65127,18,10,17,29341
65255,17,8,16,6533
65639,24,14,23,37427
65703,22,13,21,49951
65895,18,10,17,29687
66023,21,12,20,33463
66791,23,11,22,2821
66887,19,10,18,15067
66919,21,12,20,33917
67047,22,12,21,16991
67303,20,11,19,22741
67399,22,13,21,51241
67655,22,9,21,635
67687,22,12,21,17153
67751,24,13,23,12877
67815,21,9,20,1273
67943,17,10,16,61219
68327,17,10,16,61565
68423,19,10,18,15413
68455,22,13,21,52043
68775,17,10,16,61969
68935,19,11,18,46585
69287,19,11,18,46823
69351,20,10,19,7811
69543,17,9,16,20887
70311,17,10,16,63353
70375,20,11,19,23779
70759,21,12,20,35863
70983,22,13,21,53965
71015,22,13,21,53989
71399,17,10,16,64333
71783,17,10,16,64679
71847,23,13,22,27311
72167,17,8,16,7225
72359,22,12,21,18337
72551,17,10,16,65371
72807,21,12,20,36901
73063,23,13,22,27773
73319,17,9,16,22021
73799,23,10,22,1039
74087,17,10,16,66755
74215,19,11,18,50153
74855,17,10,16,67447
74983,23,11,22,3167
75079,17,10,16,67649
75239,22,12,21,19067
75367,23,13,22,28649
75687,17,10,16,68197
75847,22,11,21,6407
75879,22,12,21,19229
76007,21,11,20,12841
76263,19,10,18,17179
76455,22,12,21,19375
76615,17,9,16,23011
76647,24,14,23,43703
76903,24,14,23,43849
76967,18,10,17,34675
77127,19,11,18,52121
77543,17,10,16,69869
77991,22,13,21,59293
78151,17,10,16,70417
78311,17,10,16,70561
78503,18,9,17,11789
78695,21,11,20,13295
78919,17,8,16,7901
79175,22,13,21,60193
79207,20,10,19,8921
79463,17,10,16,71599
79559,17,5,16,295
79591,22,13,21,60509
79719,23,11,22,3367
79975,19,9,18,6005
80039,18,10,17,36059
80551,22,12,21,20413
80743,21,10,20,4547
80807,18,8,17,4045
80967,18,7,17,1351
80999,19,11,18,54737
81127,18,8,17,4061
81255,20,11,19,27455
81447,18,5,17,151
81511,22,13,21,61969
81991,17,10,16,73877
82023,23,12,22,10393
82087,24,14,23,46805
82279,20,9,19,3089
82663,18,10,17,37241
82759,17,10,16,74569
82855,17,7,16,2765
83015,21,10,20,4675
83047,19,10,18,18707
83271,18,9,17,12505
83335,17,4,16,103
83431,19,11,18,56381
83687,22,13,21,63623
83879,18,10,17,37789
84039,22,11,21,7099
84071,19,11,18,56813
84199,21,11,20,14225
84327,20,11,19,28493
84455,17,10,16,76097
84583,19,8,18,2117
84647,18,10,17,38135
84839,21,11,20,14333
84903,17,10,16,76501
85159,17,9,16,25577
85223,17,10,16,76789
85671,21,12,20,43421
85735,18,9,17,12875
86343,18,10,17,38899
86503,24,13,23,16441
86631,17,7,16,2891
86695,23,12,22,10985
87143,19,11,18,58889
87271,18,10,17,39317
87367,22,13,21,66421
87655,19,10,18,19745
87783,22,13,21,66737
87879,18,8,17,4399
88167,19,11,18,59581
88231,17,10,16,79499
88391,22,13,21,67199
88423,20,10,19,9959
88679,17,10,16,79903
88935,17,9,16,26711
89703,22,13,21,68197
89767,17,8,16,8987
89927,17,7,16,3001
90183,18,9,17,13543
90471,20,11,19,30569
90599,23,13,22,34439
90951,18,10,17,40975
91207,17,10,16,82181
91239,17,9,16,27403
91463,22,13,21,69535
91751,19,11,18,62003
91815,20,7,19,383
91879,18,10,17,41393
91975,17,10,16,82873
92071,17,9,16,27653
92487,22,13,21,70313
92647,18,9,17,13913
92839,17,10,16,83651
92903,22,12,21,23543
93095,18,10,17,41941
93287,22,13,21,70921
93351,23,13,22,35485
93415,18,10,17,42085
93863,18,10,17,42287
94535,17,9,16,28393
94887,23,12,22,12023
95047,21,12,20,48173
95335,23,13,22,36239
95847,17,9,16,28787
95975,21,12,20,48643
96167,22,13,21,73111
96359,19,11,18,65117
96423,22,9,21,905
96583,22,13,21,73427
96615,17,10,16,87053
96871,19,10,18,21821
97895,19,11,18,66155
98471,23,11,22,4159
98663,20,11,19,33337
98791,18,10,17,44507
98887,19,6,18,275
99047,24,12,23,6275
99143,17,9,16,29777
99399,18,9,17,14927
99655,22,13,21,75763
99687,17,10,16,89821
100071,17,10,16,90167
100167,18,10,17,45127
100263,22,13,21,76225
100519,22,11,21,8491
100775,17,6,16,1121
100839,22,13,21,76663
101031,20,9,19,3793
101095,22,12,21,25619
101191,21,12,20,51287
101287,17,9,16,30421
101543,23,13,22,38599
101607,17,9,16,30517
102055,17,10,16,91955
102119,24,13,23,19409
102503,18,8,17,5131
102727,23,13,22,39049
103143,17,10,16,92935
103271,18,10,17,46525
103527,23,13,22,39353
103911,17,8,16,10403
104167,21,12,20,52795
104615,22,11,21,8837
104775,24,14,23,59741
104807,18,9,17,15739
105063,17,9,16,31555
105127,20,11,19,35521
105575,18,10,17,47563
105799,22,8,21,331
105959,21,7,20,221
106599,17,10,16,96049
106983,17,10,16,96395
107335,24,14,23,61201
107623,24,13,23,20455
107687,17,8,16,10781
107751,17,10,16,97087
107847,24,14,23,61493
107879,18,10,17,48601
108007,18,10,17,48659
108135,22,12,21,27403
108263,19,9,18,8129
108359,17,9,16,32545
108455,22,13,21,82453
108647,18,10,17,48947
108871,21,10,20,6131
108903,22,13,21,82793
109031,22,13,21,82891
109223,20,11,19,36905
109287,19,11,18,73853
109735,21,11,20,18539
109895,17,10,16,99019
110247,20,9,19,4139
110311,21,12,20,55909
110759,17,10,16,99797
110919,23,13,22,42163
111335,19,10,18,25079
111431,22,13,21,84715
111783,21,10,20,6295
111847,22,13,21,85031
112359,19,11,18,75929
112711,19,8,18,2821
112807,22,11,21,9529
112871,19,8,18,2825
112999,22,13,21,85907
113831,17,10,16,102565
114599,17,8,16,11473
114791,18,10,17,51715
114919,17,7,16,3835
115175,22,9,21,1081
115431,19,11,18,78005
115943,19,10,18,26117
116071,17,9,16,34861
116199,17,10,16,104699
116455,19,11,18,78697
116647,19,11,18,78827
116807,17,10,16,105247
116839,23,13,22,44413
116967,17,10,16,105391
117223,24,14,23,66839
117415,20,11,19,39673
117575,23,13,22,44693
117607,17,10,16,105967
117991,24,14,23,67277
118087,22,10,21,3325
118119,22,12,21,29933
118375,17,8,16,11851
118439,20,11,19,40019
118695,19,10,18,26737
118855,19,10,18,26773
118935,17,3,16,49
119111,21,11,20,20123
119271,22,11,21,10075
119527,17,9,16,35899
119655,22,13,21,90967
119911,17,10,16,108043
119975,17,10,16,108101
120039,19,11,18,81119
120167,24,12,23,7613
120423,22,12,21,30517
120743,17,10,16,108793
120935,24,13,23,22985
121191,22,13,21,92135
121671,17,8,16,12181
121959,24,14,23,69539
122471,18,10,17,55175
122983,17,9,16,36937
123207,17,10,16,111013
123367,22,11,21,10421
123559,18,8,17,6185
123719,20,11,19,41803
123879,18,6,17,689
123975,24,13,23,23563
124135,17,9,16,37283
124263,23,12,22,15745
124391,21,9,20,2335
124519,17,10,16,112195
124647,19,11,18,84233
124775,22,13,21,94859
124999,19,10,18,28157
125031,23,13,22,47527
125095,18,10,17,56357
125159,19,10,18,28193
125767,20,10,19,14165
125863,19,11,18,85055
126119,24,14,23,71911
126183,19,11,18,85271
126279,17,9,16,37927
126631,20,11,19,42787
126887,17,10,16,114329
127335,19,8,18,3187
127655,17,10,16,115021
127815,17,10,16,115165
128167,18,9,17,19247
128871,19,10,18,29029
128935,23,12,22,16337
129127,17,10,16,116347
129383,21,12,20,65575
129639,21,12,20,65705
129703,18,10,17,58433
130407,19,10,18,29375
130663,17,10,16,117731
130791,18,8,17,6547
131175,22,13,21,99725
131559,22,11,21,11113
132455,23,12,22,16783
132583,21,11,20,22399
132839,23,13,22,50495
132935,20,11,19,44917
133479,19,10,18,30067
133863,18,10,17,60307
133991,19,11,18,90547
134311,18,10,17,60509
135079,18,9,17,20285
135495,24,14,23,77257
135847,18,10,17,61201
136007,24,14,23,77549
136039,19,11,18,91931
136295,22,11,21,11513
136423,21,12,20,69143
136807,24,14,23,78005
136935,18,10,17,61691
137127,23,12,22,17375
137319,21,10,20,7733
137703,18,8,17,6893
138087,19,10,18,31105
138343,23,11,22,5843
138407,22,13,21,105223
138855,20,9,19,5213
139367,22,13,21,105953
139623,19,10,18,31451
140391,22,10,21,3953
140615,18,10,17,63349
140647,19,11,18,95045
140775,21,11,20,23783
140903,20,11,19,47609
141223,18,10,17,63623
141415,21,11,20,23891
141479,24,14,23,80669
142055,24,13,23,26999
142151,18,9,17,21347
142247,21,12,20,72095
142567,21,12,20,72257
143079,18,10,17,64459
143271,22,12,21,36307
143687,18,10,17,64733
143847,18,10,17,64805
144455,18,8,17,7231
144999,20,10,19,16331
145095,18,5,17,269
145735,23,13,22,55397
146023,22,13,21,111013
146087,21,12,20,74041
146599,22,13,21,111451
147047,20,11,19,49685
147303,21,12,20,74657
147527,18,10,17,66463
147559,21,11,20,24929
147623,22,13,21,112229
147783,22,13,21,112351
148295,18,10,17,66809
148327,24,12,23,9397
148391,20,7,19,619
148711,21,12,20,75371
148871,20,4,19,23
149319,22,13,21,113519
149351,21,12,20,75695
149671,23,13,22,56893
149831,24,13,23,28477
149863,24,13,23,28483
149991,18,10,17,67573
150375,24,14,23,85741
150439,18,10,17,67775
150695,19,9,18,11315
150759,18,10,17,67919
150887,24,14,23,86033
151463,22,12,21,38383
151623,21,12,20,76847
151719,19,11,18,102527
152167,18,7,17,2539
152231,21,12,20,77155
152391,23,12,22,19309
152423,23,12,22,19313
152743,23,13,22,58061
153767,19,10,18,34637
154215,20,10,19,17369
154279,24,14,23,87967
154471,18,9,17,23197
154791,19,11,18,104603
155239,20,11,19,52453
155303,19,8,18,3887
155463,19,7,18,1297
155495,21,12,20,78809
155975,22,13,21,118579
156007,22,13,21,118603
156743,18,10,17,70615
156775,18,9,17,23543
157511,18,10,17,70961
157607,20,9,19,5917
157767,21,12,20,79961
157863,19,11,18,106679
157927,22,12,21,40021
158375,19,10,18,35675
158567,22,12,21,40183
158887,19,11,18,107371
159463,24,14,23,90923
160071,19,9,18,12019
160231,24,14,23,91361
160423,21,12,20,81307
160583,23,12,22,20347
160999,23,13,22,61199
161383,18,9,17,24235
161639,21,12,20,81923
161703,20,11,19,54637
162119,19,11,18,109555
162151,18,10,17,73051
162471,19,11,18,109793
162663,22,12,21,41221
164167,19,11,18,110939
164199,22,13,21,124831
164583,21,11,20,27805
164679,19,9,18,12365
