k1	task_id	seconds	hours	exit_code	timed_out	result	hits	log_sha256
1	m95_k1_01	0.504951	0.000140	0	false	PASS	0	9ab01164d863168871f3439ea48aa5ddf653d6ddc028a69ee891ce7618de8b68
2	m95_k1_02	1553.892008	0.431637	0	false	PASS	0	3f825bde68a60dfeed9c379c7d98273d94b633f6893c91636aaf61eaaa07e6aa
3	m95_k1_03	1531.436065	0.425399	0	false	PASS	0	26a63650c04252fbe532664540050c612933d083416c8262ed094ce7ff610c8d
4	m95_k1_04	2607.383524	0.724273	0	false	PASS	0	18de6c0e89a7d3bde51dfcd80b346c43f36fac729b9092642dd6daba94e01e83
5	m95_k1_05	2822.345434	0.783985	0	false	PASS	0	8fa1b5263e638dbe36d0c4633026a0bdd372d795e997e93e88f7c1eddbc20ccb
6	m95_k1_06	3711.935435	1.031093	0	false	PASS	0	c014dd35e296a8f48c3c2809f15c9359c23e719a07ca857616e958c587f11259
7	m95_k1_07	4585.810666	1.273836	0	false	PASS	0	7747fa09f0480298a4518644d900d68930105800f267cc28a708096d53c61a67
8	m95_k1_08	4669.003318	1.296945	0	false	PASS	0	18eaaefc619c35aad2433dd37817626fd64fbdb541f866acf253ea14353504ec
9	m95_k1_09	5089.281063	1.413689	0	false	PASS	0	5cf6e822fcf83a64caf4d3f3ca313988ba72fa7f4a99ed50f5e2fe0ac0532cf1
10	m95_k1_10	5073.642717	1.409345	0	false	PASS	0	10bd25efc2ac19db7f61e5b018c5dec66e27d60add4301e1208de98b847b5d96
11	m95_k1_11	5455.793977	1.515498	0	false	PASS	0	2ad9a37fe3ec46156a7516d60e7bfdaa56d0eea2312362e8fffa52d84ad64520
12	m95_k1_12	5816.426641	1.615674	0	false	PASS	0	769f8d141e3d294b242c1d59b2302b8cb969613d55eb5f828daff5a960b2aebd
13	m95_k1_13	5513.582473	1.531551	0	false	PASS	0	8ffb2f4619473e29589dc993fc7ad0a330309741adb9abb169912621a1a405ba
