k1	task_id	seconds	hours	exit_code	timed_out	result	hits	log_sha256
59	m96_k1_59	0.503523	0.000140	0	false	PASS	0	e8df10d40318f6cb83448541ba09529b3a11575814429d8162b88a775b14890b
60	m96_k1_60	0.503898	0.000140	0	false	PASS	0	18eab9c895a1c072518e57d601a41fa8c386b6ea0535e2ca8f40de63cf241453
61	m96_k1_61	0.504023	0.000140	0	false	PASS	0	57fdb4299967f1b9fa5976c6d2a3ed35402e3f739a896cc203ab026df9b8d6cf
62	m96_k1_62	0.504080	0.000140	0	false	PASS	0	02de0723fbe5d81174d5833a916e346c3b4c88989414231fe9f572bf0695f82f
63	m96_k1_63	0.504177	0.000140	0	false	PASS	0	ae8e6811ef6aeaf5529fb16aa916f27740ab2ca817e4f023865eb6e172caf808
64	m96_k1_64	0.504168	0.000140	0	false	PASS	0	ba75136bc6cf47a38346ce3caec15ce81cd24555b60072ff001ae3266e19cf51
65	m96_k1_65	0.504433	0.000140	0	false	PASS	0	6fb428663324b15e618404220d014af5b8bc3c0e588f2b61e387ebb27487b87f
66	m96_k1_66	0.504429	0.000140	0	false	PASS	0	ab2d78813079d61de2ef2121527cc935c38dbc3c7b82390e0e7c514a662765ab
67	m96_k1_67	0.504228	0.000140	0	false	PASS	0	4fc8790a32b99d7b3a1e524940a96401d39f20d5a9b5c5f289e96c035f1c9224
68	m96_k1_68	0.503850	0.000140	0	false	PASS	0	500fc0791559fa60698d05738622dcc26e0ac1546acbfd4d0f296094eb70864d
69	m96_k1_69	0.506621	0.000141	0	false	PASS	0	feaae39b76720343b9b742d5f563c93dafb68d8201bf7829d60051d59883cc20
70	m96_k1_70	0.507127	0.000141	0	false	PASS	0	d0d9582dee9df73e3627382427031917e5d0639895b73179ba33a9c3a7de3df8
71	m96_k1_71	0.507365	0.000141	0	false	PASS	0	ac4f3158a7206b48833a870cd9c2f0538b4ba20277a92c223b9b6b84049e4ca9
72	m96_k1_72	0.507693	0.000141	0	false	PASS	0	795ea7035f45794e79f427ac43e13066cd1dd04e27c829e5d6390693c72ca5eb
73	m96_k1_73	0.508360	0.000141	0	false	PASS	0	2d7bc05e81797b55917aa7c98c328658a47d6e3b73a7fdc56c9a79e7a2500d32
74	m96_k1_74	0.510190	0.000142	0	false	PASS	0	915b8c1141b06cb90e214d04c1c50c80e03eb7062a497c51f538c2aa0994509a
75	m96_k1_75	0.509964	0.000142	0	false	PASS	0	97277ed1e3e753cde2d8a823254e0dab635f5099a46dbbd4e0988f660adba72d
