k1	task_id	seconds	hours	exit_code	timed_out	result	hits	log_sha256
1	m94_k1_01	0.504362	0.000140	0	false	PASS	0	e398ec8def987aaf86d7ab66f749eaaba140365eef36e17f028f229088809468
2	m94_k1_02	24.067567	0.006685	0	false	PASS	0	0b43cc393caac7e4ec54d5d63f5da27580b9dd933a1be36f1534befa93a52718
3	m94_k1_03	24.070365	0.006686	0	false	PASS	0	49d1464e58a130bb05628f1f630e5c0a0f29f395678c45cf4a8d3ae8eebda63b
4	m94_k1_04	40.105357	0.011140	0	false	PASS	0	6d77ae497deebca3b3e4a83d7050de4f72649cb8f5aeb113da7462cd5fcfd08b
5	m94_k1_05	40.119604	0.011144	0	false	PASS	0	91b9b502365dfcbf00b03acd218e602e0a1502d0103f9111719311af72d170b9
6	m94_k1_06	57.141008	0.015873	0	false	PASS	0	a49774c11c22c04cc0bf04b9e533ad0b847bc40ae13b6a94a2b8b8cf32a8a1f5
7	m94_k1_07	65.661402	0.018239	0	false	PASS	0	5729097f47ed55fca2e803f132e91430e78ddf46644a334cc48250e441ec253d
8	m94_k1_08	68.652132	0.019070	0	false	PASS	0	c4c4394015639ab49b30c94cff4410fab9323e30e396e4db750d2459a29e3e20
9	m94_k1_09	80.647546	0.022402	0	false	PASS	0	7a88680ea4938b687f2b6220eebff16fe335b58261efc1f00540abd244b51d86
10	m94_k1_10	77.152561	0.021431	0	false	PASS	0	d600c21f637a7bad7b7dc79f1b37f481120d4e583228d25094ca524fe855510e
11	m94_k1_11	90.657185	0.025183	0	false	PASS	0	2616d47ce3427c4354d031c8ad167fe25ae45657e391caf285fd96598ec66f49
12	m94_k1_12	99.177677	0.027549	0	false	PASS	0	c5964d1b6cf19dbd5a02d4ec552fb5e985f737d3246da45aa6d4384e30249e15
13	m94_k1_13	97.664865	0.027129	0	false	PASS	0	fcc2e02034eb54b6c07d6e2437bcbb8e98c643ebc487fefaad3054ffe652e0d1
14	m94_k1_14	97.707011	0.027141	0	false	PASS	0	fcca0cb45c5604bee092cab32b9bdb88c7631db9a7175ea0e3ef64fd69c31879
15	m94_k1_15	98.194601	0.027276	0	false	PASS	0	9c901464d90e383ed59275827f3fd80bea108e9a4b2302f559d7c89b425f6b14
16	m94_k1_16	99.198724	0.027555	0	false	PASS	0	54c2aed773c1f271a151f607ec16b31b401e288da0bfb52b3197b4098425cb70
17	m94_k1_17	94.198399	0.026166	0	false	PASS	0	3e047424c35aed1c4300862c99d351c6469a01e91406345b8c0a729146287dc3
18	m94_k1_18	90.199319	0.025055	0	false	PASS	0	d48a92f57abe48c64267d64ab834a999ef2c905a85d661b340a3007bbb92573c
19	m94_k1_19	88.699834	0.024639	0	false	PASS	0	d62914056ea466f9b82f6359ccfe6f6389dd632b49f1f31e42d3d3f099f94059
20	m94_k1_20	83.188639	0.023108	0	false	PASS	0	2b81980ab1ee3177c75d2af342b04ed5004178e3e5a0eb62ed54177208243c1b
21	m94_k1_21	82.653441	0.022959	0	false	PASS	0	d7f66ad77ea8db1737f41a9989f40ad11cf6196038d3cab0b9e8ede4ebe05644
22	m94_k1_22	76.636687	0.021288	0	false	PASS	0	980425d7067cef3b37f9f1b1346d01d7e33273248f7986cb77965bd297f63cdc
23	m94_k1_23	72.135890	0.020038	0	false	PASS	0	e54a0e26ee527caccd4d211247474e5b5e6329e752420f5a7b1520dd4a923df8
24	m94_k1_24	73.149749	0.020319	0	false	PASS	0	2c320c810dc6b115d90b1dce329a1359facea9ba26c505ad29e1a7236af03849
25	m94_k1_25	63.634995	0.017676	0	false	PASS	0	ef3297bfe199f817e7d2ba51bd55773db31fe584b9a0d001ade36ff138d89088
26	m94_k1_26	65.133866	0.018093	0	false	PASS	0	7cd3b3533ebc8bb9db856686b56ac54867ffdbf0692b0d2b8009566141ea6900
27	m94_k1_27	59.125208	0.016424	0	false	PASS	0	3eeb13ed85e4235f8c9ca7870f9a897b63533c36f99c2f62790bbb552aa79fdf
28	m94_k1_28	55.625646	0.015452	0	false	PASS	0	e2e779f40ffcf8b74b75e3d93b5753a48897a9ff87115d46144b1e75436e1dd9
29	m94_k1_29	52.644886	0.014624	0	false	PASS	0	46795e7fd0e98c797784abd02e24bbcf226e46d6743ec1691aa046c8deab131c
30	m94_k1_30	47.132274	0.013092	0	false	PASS	0	66fa39dd7c00246160f7627120421d934f047c89064cf212387b9a605f27aae5
31	m94_k1_31	44.132133	0.012259	0	false	PASS	0	c45257edb2d3b135c2240e331814eb49568c14e2415fc82c95adeb24644267fb
32	m94_k1_32	39.123169	0.010868	0	false	PASS	0	cc6102b84a9631afcda9c1d2d71ac3c15988ae1b9d8ae0721a3e776d11f69ae4
33	m94_k1_33	35.621990	0.009895	0	false	PASS	0	c157adedf1becd9ec1d744d1ffa5bd37a35f71e329e8434085a10e044ac46586
34	m94_k1_34	31.623488	0.008784	0	false	PASS	0	067b21e3af474f4ffe21f5c0b6eb61e06946fb00a5d16f627651e4291c69ef5f
35	m94_k1_35	27.119015	0.007533	0	false	PASS	0	c148d9c719b4a52fd81a073ed89b4b38da01d98abe2f24fcae7de1b7e30e2940
36	m94_k1_36	23.119893	0.006422	0	false	PASS	0	312b8f5ee5868802bebc71fc980fb9f11c845136dcbf8201a6cf07e59a22bfc8
37	m94_k1_37	22.107959	0.006141	0	false	PASS	0	0428c993a0892b872efa195254c64e28b1cb0ad2ecdb44350ddcb3411117b359
38	m94_k1_38	17.109916	0.004753	0	false	PASS	0	0b747a5004a028b5a35df0065abc8e686765d78d994f3fb9fc75fffdbeb2496a
39	m94_k1_39	16.109481	0.004475	0	false	PASS	0	bc4448bd0169b8b172ee34f6b0ce83abac87cd28a1b203faacbf59b75a752239
40	m94_k1_40	13.112699	0.003642	0	false	PASS	0	391bebfc2dbc2ff5369070cc172bca19903493953dd73068315ea56eb2ca8eaf
41	m94_k1_41	11.119599	0.003089	0	false	PASS	0	eaa8cf10dd1a7ffbf1921a7dbacd461810ef69a9d1a6f03b848a8e7f39a6b933
42	m94_k1_42	9.625520	0.002674	0	false	PASS	0	f65a6d76ce5f58f4f4ab0d96bb6c68cfc7a4eb1889d1f7e3cce52b9ca392243a
43	m94_k1_43	8.116098	0.002254	0	false	PASS	0	29e17f43ba8739fd7b3c4335cc69e04063ff5bdc4d9e6ac7dac61f54c8a90bd3
44	m94_k1_44	6.119701	0.001700	0	false	PASS	0	0bf54ecdc007eaa954f9c09ab562cf7138581bfa3d8a1161e3ecf05c94adc642
45	m94_k1_45	5.107921	0.001419	0	false	PASS	0	a06776f09651463dfca1fb47e479cffe6236ebb8e0046a7a6d78bce4b870a006
46	m94_k1_46	4.094650	0.001137	0	false	PASS	0	0e765f4f1b1b14ef201d38b81eec60bacd41443510b01aac05777f011a0f994f
47	m94_k1_47	3.080336	0.000856	0	false	PASS	0	87dd1ea041d4b48fdf14e9b0771d238487d3c2e432394ca34faac850115291c6
48	m94_k1_48	2.560325	0.000711	0	false	PASS	0	2ffac107fb2bbe933238e323e57e5ba68d948719b8555c51103cc0be2befed77
49	m94_k1_49	2.044285	0.000568	0	false	PASS	0	c0d23c2da21c40df17348843f3724af3503f92be23a04b93fb74beb9a0514e13
50	m94_k1_50	1.525904	0.000424	0	false	PASS	0	78a03517407e8eca1d50c14aa87bb666d8aaf8fd50cc935654b46d09d9c15719
51	m94_k1_51	1.011708	0.000281	0	false	PASS	0	b3d3d429697c73f104181c5b25bf96e55457c0acd2661f18aaca4489cf4a6d46
52	m94_k1_52	1.014365	0.000282	0	false	PASS	0	a449516d54f22b2da2f9528f1b1d56644492097754f21c04f965c2e1f8af75f7
53	m94_k1_53	0.508728	0.000141	0	false	PASS	0	9f4eb7f3832e4ff59aae12479aad501a4356260876f18bca9fdb59e32b45e47c
54	m94_k1_54	0.509871	0.000142	0	false	PASS	0	4dcb2445bb0d0af7fe7ada2d1b59dd1770150f97c6ab16ac1a86373128f7eb62
55	m94_k1_55	0.510085	0.000142	0	false	PASS	0	0e1aaf10ed03a7cf964b2546510dce83d9cc9ad7d3d5f29fe58890e06828ee34
56	m94_k1_56	0.510116	0.000142	0	false	PASS	0	f6b86fcbad68e947c2e37fcde9e077d4ed961f6671c1bd4912e95b47efdca077
57	m94_k1_57	0.510219	0.000142	0	false	PASS	0	e99a2a4d1ae16aed2f2a907248b77101180645e9946a515c41233b82b8564c5e
58	m94_k1_58	0.510230	0.000142	0	false	PASS	0	cd1d8ff0318ef098f8b0f95171db5b0cbef911706acfbb00d66a2ab179a89dc2
